DR,A%,DF%,1stIn,1st%,2nd%
1.19,9.9%,7.0%,60.6%,76.7%,42.9%
0.60,2.5%,5.1%,53.2%,69.0%,37.8%
1.34,6.3%,7.9%,52.4%,72.7%,56.7%
1.32,3.5%,8.8%,52.6%,83.3%,48.1%
0.92,3.0%,7.6%,53.0%,60.0%,54.8%
0.83,1.8%,7.0%,50.9%,48.3%,42.9%
1.40,1.6%,6.3%,60.3%,73.7%,56.0%
0.94,2.3%,2.3%,62.8%,64.8%,40.6%
1.23,6.5%,0.0%,59.7%,67.4%,58.1%
1.19,1.2%,7.2%,71.1%,72.9%,33.3%
0.92,0.0%,2.2%,48.3%,74.4%,39.1%
1.41,6.3%,2.5%,55.7%,72.7%,57.1%
1.16,1.0%,4.1%,62.9%,63.9%,44.4%
0.85,0.0%,3.4%,70.7%,61.0%,64.7%
0.59,0.0%,2.1%,75.0%,52.8%,25.0%
0.90,2.2%,1.1%,59.8%,63.6%,56.8%
1.09,4.3%,3.2%,67.7%,68.3%,33.3%
2.20,9.3%,2.3%,69.8%,93.3%,38.5%
2.94,11.1%,8.3%,58.3%,90.5%,66.7%
2.51,10.6%,0.0%,61.7%,86.2%,66.7%
1.10,5.8%,5.8%,54.7%,78.7%,43.6%
1.06,6.6%,3.9%,67.1%,72.5%,52.0%
0.43,0.0%,6.7%,40.0%,66.7%,22.2%
0.77,2.3%,3.4%,53.4%,63.8%,51.2%
0.68,6.7%,5.0%,73.3%,63.6%,31.3%
0.99,11.9%,1.8%,61.5%,89.6%,57.1%
1.76,6.1%,2.0%,65.3%,81.3%,58.8%
1.19,11.6%,6.3%,54.7%,78.8%,58.1%
0.71,10.7%,5.4%,58.9%,66.7%,52.2%
1.70,8.0%,0.0%,74.0%,78.4%,84.6%
0.22,8.3%,3.3%,41.7%,64.0%,40.0%
0.47,8.5%,5.6%,49.3%,60.0%,50.0%
0.89,5.6%,3.7%,53.7%,75.9%,56.0%
1.22,8.8%,0.0%,62.5%,68.0%,46.7%
1.61,22.8%,1.8%,63.2%,86.1%,66.7%
0.44,0.0%,6.8%,61.4%,51.9%,23.5%
1.24,14.0%,4.7%,64.0%,72.7%,54.8%
1.03,10.8%,2.0%,67.6%,60.9%,60.6%
0.21,3.4%,6.9%,63.8%,64.9%,33.3%
1.04,6.6%,5.0%,71.9%,63.2%,47.1%
1.20,6.2%,4.9%,58.0%,74.5%,52.9%
1.25,4.6%,0.0%,55.4%,69.4%,62.1%
0.95,6.4%,2.8%,56.0%,70.5%,50.0%
1.10,8.6%,3.7%,67.9%,76.4%,46.2%
0.88,5.7%,5.7%,49.1%,65.4%,40.7%
0.78,9.9%,4.4%,61.5%,76.8%,42.9%
1.08,9.1%,3.6%,60.9%,82.1%,44.2%
0.79,9.3%,4.1%,52.6%,74.5%,45.7%
1.13,12.3%,5.5%,57.5%,73.8%,41.9%
0.41,7.3%,17.1%,51.2%,61.9%,25.0%
0.79,2.7%,5.4%,55.4%,56.1%,51.5%
1.49,16.1%,7.1%,50.0%,78.6%,60.7%
0.65,1.5%,4.4%,60.3%,80.5%,25.9%
0.91,9.3%,5.3%,56.0%,69.0%,51.5%
0.40,2.3%,2.3%,63.6%,60.7%,31.3%
0.92,6.3%,3.1%,58.3%,80.4%,50.0%
1.13,9.7%,8.1%,72.6%,84.4%,41.2%
0.72,5.3%,8.0%,53.3%,62.5%,57.1%
1.58,3.7%,1.9%,55.6%,80.0%,70.8%
0.88,0.0%,1.0%,64.7%,53.0%,58.3%
1.16,4.2%,5.2%,65.6%,68.3%,48.5%
0.45,2.0%,3.9%,52.9%,59.3%,37.5%
1.22,12.9%,7.8%,62.9%,71.2%,48.8%
0.69,5.3%,5.3%,54.4%,80.6%,34.6%
