DR,A%,DF%,1stIn,1st%,2nd%
1.06,10.1%,6.3%,67.1%,60.4%,46.2%
2.26,25.0%,2.5%,65.0%,69.2%,85.7%
0.92,16.7%,1.5%,80.3%,77.4%,30.8%
0.98,10.4%,4.2%,76.0%,65.8%,52.2%
0.95,6.6%,1.3%,72.4%,72.7%,42.9%
1.11,16.9%,4.5%,67.4%,68.3%,55.2%
0.90,16.3%,3.1%,73.5%,72.2%,65.4%
1.15,8.0%,4.6%,66.7%,77.6%,55.2%
1.33,6.7%,3.3%,70.0%,78.6%,61.1%
0.82,9.6%,0.9%,67.8%,69.2%,48.6%
0.52,9.8%,3.9%,70.6%,66.7%,40.0%
1.10,13.8%,4.3%,79.8%,72.0%,47.4%
0.69,6.7%,5.7%,64.8%,66.2%,56.8%
1.36,14.3%,3.6%,64.3%,77.8%,63.3%
0.88,5.3%,0.0%,65.3%,66.1%,51.5%
1.58,14.0%,2.0%,78.0%,79.5%,54.5%
1.09,10.2%,5.1%,70.4%,71.0%,44.8%
1.24,16.1%,4.8%,62.9%,71.8%,39.1%
0.64,6.3%,1.6%,65.6%,76.2%,50.0%
0.82,10.0%,3.6%,60.0%,80.3%,54.5%
1.35,17.6%,4.1%,59.5%,81.8%,66.7%
1.09,18.2%,6.1%,64.6%,78.1%,34.3%
0.99,16.3%,2.2%,72.8%,71.6%,56.0%
1.18,9.6%,4.1%,78.1%,71.9%,50.0%
1.91,14.0%,4.0%,66.0%,81.8%,70.6%
0.69,13.7%,6.8%,64.4%,63.8%,57.7%
1.06,26.7%,0.0%,72.1%,77.4%,70.8%
0.61,13.7%,3.4%,68.4%,76.3%,56.8%
0.84,21.9%,0.0%,75.3%,67.3%,44.4%
1.85,23.5%,2.0%,74.5%,86.8%,69.2%
2.01,16.0%,6.0%,78.0%,92.3%,36.4%
1.34,18.8%,4.7%,65.6%,81.0%,45.5%
1.16,13.9%,4.2%,69.4%,82.0%,45.5%
1.29,27.4%,3.6%,75.0%,81.0%,57.1%
1.20,16.7%,2.8%,69.4%,76.0%,54.5%
0.89,9.8%,2.4%,65.9%,63.0%,42.9%
0.70,8.0%,7.0%,60.0%,71.7%,45.0%
0.72,8.2%,0.0%,67.1%,53.1%,50.0%
1.84,13.0%,2.2%,69.6%,81.3%,71.4%
1.10,12.6%,6.9%,62.1%,68.5%,36.4%
2.39,23.3%,4.7%,65.1%,89.3%,60.0%
0.83,4.4%,4.4%,64.7%,68.2%,54.2%
1.07,2.1%,2.1%,63.8%,71.7%,47.1%
1.10,13.0%,2.6%,74.0%,71.9%,65.0%
1.04,11.6%,2.7%,60.7%,77.9%,47.7%
0.86,16.7%,16.7%,50.0%,66.7%,0.0%
0.78,18.1%,4.9%,68.8%,71.7%,46.7%
1.04,17.5%,3.3%,62.5%,68.0%,55.6%
4.04,31.8%,2.3%,72.7%,96.9%,75.0%
1.59,19.6%,3.9%,68.6%,82.9%,50.0%
0.92,12.9%,8.6%,68.8%,70.3%,41.4%
0.99,4.0%,1.3%,64.0%,72.9%,55.6%
0.63,10.4%,5.7%,64.2%,64.7%,44.7%
1.53,17.4%,2.9%,72.5%,88.0%,52.6%
1.13,8.8%,2.9%,64.7%,79.5%,54.2%
0.91,7.5%,1.4%,70.5%,73.8%,65.1%
0.94,4.6%,7.4%,70.4%,71.1%,56.3%
0.92,17.2%,6.5%,64.5%,78.3%,45.5%
1.20,25.4%,4.2%,67.6%,87.5%,43.5%
1.14,4.6%,3.1%,72.3%,72.3%,55.6%
1.34,16.0%,2.5%,66.7%,81.5%,66.7%
1.24,5.8%,5.8%,66.7%,73.9%,47.8%
0.98,12.9%,5.7%,67.1%,74.5%,47.8%
1.33,11.0%,1.4%,69.9%,84.3%,40.9%
0.80,11.1%,3.2%,71.4%,64.4%,33.3%
0.75,3.6%,3.6%,64.3%,58.3%,40.0%
1.15,14.8%,3.7%,63.0%,78.4%,50.0%
