DR,A%,DF%,1stIn,1st%,2nd%
0.65,0.0%,12.7%,47.3%,53.8%,37.9%
1.36,9.4%,0.0%,56.3%,77.8%,53.6%
1.09,1.5%,7.6%,53.0%,65.7%,45.2%
0.87,3.2%,3.2%,69.5%,63.6%,62.1%
1.14,1.2%,2.5%,58.0%,78.7%,58.8%
0.80,3.6%,8.2%,51.8%,71.9%,41.5%
0.75,0.0%,5.9%,58.8%,60.0%,42.9%
1.14,4.0%,2.7%,57.3%,67.4%,40.6%
0.51,2.1%,6.3%,60.4%,58.6%,26.3%
1.20,0.0%,5.0%,61.3%,55.1%,61.3%
1.70,8.0%,4.0%,60.0%,83.3%,55.0%
1.27,4.0%,6.0%,62.0%,58.1%,63.2%
0.98,6.9%,3.8%,60.3%,69.6%,42.3%
0.77,8.1%,7.1%,51.5%,70.6%,52.1%
0.94,2.4%,3.5%,52.9%,71.1%,52.5%
1.26,2.8%,5.6%,47.9%,73.5%,45.9%
1.45,9.4%,3.8%,67.9%,80.6%,29.4%
1.24,3.4%,8.6%,62.1%,75.0%,45.5%
1.54,5.5%,0.0%,60.0%,72.7%,63.6%
1.64,6.0%,2.0%,56.0%,78.6%,59.1%
0.49,5.4%,0.0%,60.7%,50.0%,45.5%
0.96,7.9%,3.1%,63.4%,74.4%,47.1%
0.79,8.1%,1.4%,68.9%,66.7%,39.1%
0.92,2.2%,5.4%,62.4%,74.1%,34.3%
1.09,9.5%,5.4%,54.1%,77.5%,52.9%
2.23,6.4%,2.1%,63.8%,83.3%,70.6%
0.59,3.6%,5.5%,67.3%,59.5%,50.0%
1.18,7.7%,6.2%,67.7%,75.0%,47.6%
0.98,4.6%,1.9%,63.9%,69.6%,43.6%
2.02,6.8%,2.3%,65.9%,82.8%,46.7%
2.17,17.9%,0.0%,71.8%,78.6%,63.6%
1.20,2.2%,2.2%,66.7%,66.7%,53.3%
1.94,7.7%,3.8%,57.7%,76.7%,77.3%
2.04,8.7%,2.2%,60.9%,89.3%,55.6%
0.98,1.8%,2.7%,64.6%,75.3%,42.5%
0.66,7.0%,11.6%,55.8%,50.0%,36.8%
2.45,9.4%,3.1%,59.4%,73.7%,76.9%
0.58,3.2%,6.5%,48.4%,56.7%,34.4%
1.25,2.5%,2.5%,62.5%,66.0%,50.0%
1.09,6.1%,1.5%,62.1%,63.4%,60.0%
0.81,3.4%,1.1%,53.4%,55.3%,58.5%
1.05,6.1%,2.0%,58.2%,71.9%,56.1%
1.19,6.0%,6.0%,61.2%,70.7%,57.7%
2.51,15.2%,6.5%,52.2%,91.7%,68.2%
0.69,1.9%,1.9%,42.6%,52.2%,51.6%
0.68,6.1%,3.5%,61.4%,65.7%,47.7%
