DR,A%,DF%,1stIn,1st%,2nd%
0.67,0.0%,3.2%,58.7%,64.9%,46.2%
1.49,16.1%,3.6%,46.4%,76.9%,53.3%
1.59,9.6%,1.9%,48.1%,76.0%,63.0%
0.78,9.1%,2.6%,64.9%,58.0%,37.0%
2.16,30.0%,7.5%,70.0%,82.1%,58.3%
1.14,14.3%,6.3%,58.7%,73.0%,42.3%
0.97,9.7%,5.6%,45.8%,84.8%,53.8%
1.36,9.5%,0.0%,60.8%,77.8%,51.7%
0.52,3.3%,8.2%,47.5%,72.4%,31.3%
0.85,11.5%,3.5%,60.2%,76.5%,51.1%
0.86,3.2%,3.2%,62.1%,71.2%,63.9%
1.30,17.7%,6.3%,57.0%,77.8%,52.9%
1.19,4.5%,2.2%,60.7%,70.4%,57.1%
1.04,3.0%,4.0%,63.6%,74.6%,41.7%
1.06,3.5%,5.3%,66.7%,60.5%,52.6%
0.94,1.1%,4.5%,59.1%,57.7%,58.3%
2.46,7.1%,0.0%,50.0%,81.0%,76.2%
0.75,2.5%,0.0%,55.6%,68.9%,41.7%
1.05,2.9%,1.2%,61.8%,68.6%,50.8%
0.80,7.4%,3.7%,60.5%,57.1%,50.0%
0.77,1.3%,5.0%,56.3%,55.6%,37.1%
0.63,4.9%,0.0%,75.4%,58.7%,53.3%
1.33,3.1%,1.0%,58.8%,68.4%,52.5%
0.66,2.3%,2.3%,68.2%,50.0%,42.9%
1.21,4.8%,4.8%,48.6%,68.6%,59.3%
0.83,0.0%,2.6%,61.5%,60.4%,40.0%
1.18,1.3%,2.6%,64.5%,63.3%,55.6%
1.44,4.9%,0.0%,63.9%,59.0%,68.2%
0.70,1.6%,1.6%,51.6%,63.6%,54.8%
0.46,0.0%,4.8%,60.3%,47.4%,40.0%
1.25,6.2%,1.2%,55.6%,71.1%,55.6%
0.95,0.9%,3.6%,61.8%,66.2%,45.2%
1.37,5.3%,2.1%,53.7%,70.6%,63.6%
0.70,3.4%,6.8%,55.7%,69.4%,53.8%
0.73,8.3%,5.6%,68.1%,73.5%,52.2%
1.81,9.6%,0.0%,63.5%,78.8%,73.7%
3.19,5.1%,0.0%,64.1%,80.0%,92.9%
0.96,12.5%,2.9%,66.3%,72.5%,57.1%
0.87,8.4%,7.2%,44.6%,67.6%,47.8%
0.70,10.5%,0.0%,65.3%,61.3%,60.6%
0.74,4.5%,0.9%,69.6%,62.8%,35.3%
0.86,2.0%,0.0%,72.0%,50.0%,85.7%
0.92,4.9%,3.3%,62.3%,68.4%,47.8%
0.75,3.0%,3.0%,62.1%,80.5%,40.0%
1.90,6.3%,4.2%,62.5%,83.3%,72.2%
0.79,6.0%,3.0%,61.0%,57.4%,51.3%
0.54,7.0%,4.7%,69.8%,73.3%,15.4%
1.24,5.7%,2.9%,64.3%,82.2%,48.0%
1.03,4.8%,4.8%,56.6%,80.9%,55.6%
7.97,32.4%,0.0%,82.4%,96.4%,83.3%
0.97,8.7%,4.8%,63.5%,66.7%,63.2%
0.90,3.5%,3.5%,61.4%,71.4%,50.0%
0.43,11.5%,5.8%,57.7%,76.7%,40.9%
0.75,8.0%,0.0%,70.7%,66.0%,50.0%
0.77,1.8%,5.4%,67.9%,68.4%,33.3%
0.86,8.0%,3.6%,59.8%,64.2%,55.6%
0.82,5.3%,2.6%,61.8%,61.7%,37.9%
0.95,6.5%,0.9%,59.3%,81.3%,61.4%
0.50,3.1%,4.7%,54.7%,68.6%,34.5%
0.76,5.5%,5.5%,60.0%,63.6%,54.5%
1.98,2.2%,0.0%,62.2%,71.4%,52.9%
0.63,0.0%,6.5%,60.9%,50.0%,44.4%
1.24,5.2%,3.9%,53.2%,65.9%,52.8%
0.48,6.0%,2.0%,77.0%,54.5%,47.8%
1.17,5.8%,0.7%,66.9%,68.8%,47.8%
1.17,7.8%,2.6%,58.6%,73.5%,56.3%
1.11,4.6%,4.6%,54.1%,71.2%,58.0%
0.80,1.6%,0.0%,67.2%,63.4%,35.0%
0.86,1.0%,3.0%,69.0%,72.5%,61.3%
1.08,8.3%,3.6%,61.9%,73.1%,59.4%
1.41,16.4%,4.9%,60.7%,81.1%,58.3%
0.57,6.3%,3.2%,63.5%,60.0%,39.1%
1.13,1.2%,4.7%,59.3%,72.5%,48.6%
0.93,12.9%,5.9%,62.4%,62.3%,53.1%
0.48,4.6%,6.2%,66.2%,76.7%,31.8%
0.69,3.5%,5.8%,60.5%,75.0%,41.2%
0.69,3.9%,6.8%,62.1%,59.4%,35.9%
1.08,2.2%,2.2%,64.0%,78.9%,46.9%
0.49,0.0%,0.0%,70.6%,58.3%,46.7%
0.90,3.7%,0.0%,67.9%,54.1%,54.3%
1.00,2.7%,0.0%,65.3%,71.4%,53.8%
0.86,1.3%,1.3%,67.1%,51.0%,48.0%
0.67,1.9%,0.0%,67.9%,63.9%,41.2%
0.62,6.9%,9.9%,66.3%,67.2%,44.1%
1.43,8.6%,3.4%,60.3%,80.0%,43.5%
0.79,3.3%,3.3%,62.3%,68.4%,39.1%
1.42,3.4%,1.7%,55.2%,68.8%,65.4%
0.87,8.9%,1.0%,77.2%,66.7%,60.9%
0.99,9.5%,1.0%,68.6%,61.1%,51.5%
1.11,4.1%,1.0%,69.1%,76.1%,53.3%
0.79,6.5%,3.2%,53.8%,66.0%,41.9%
0.87,4.3%,4.3%,59.1%,70.9%,44.7%
1.24,12.5%,0.6%,66.1%,73.0%,64.9%
0.68,3.3%,3.3%,60.9%,53.6%,47.2%
1.27,14.4%,6.1%,60.6%,77.5%,50.0%
1.45,1.3%,2.6%,60.3%,85.1%,67.7%
0.91,4.3%,5.2%,57.4%,63.6%,51.0%
4.60,9.4%,3.1%,71.9%,91.3%,77.8%
1.32,8.5%,7.4%,56.4%,79.2%,63.4%
0.67,2.9%,4.3%,55.1%,63.2%,51.6%
1.31,4.6%,1.5%,56.9%,67.6%,60.7%
0.73,1.2%,1.2%,50.6%,61.9%,58.5%
1.23,3.9%,2.6%,61.8%,63.8%,69.0%
1.27,6.6%,8.8%,56.0%,78.4%,52.5%
0.94,4.1%,8.2%,61.6%,75.6%,32.1%
1.27,10.9%,1.0%,64.4%,70.8%,50.0%
1.21,11.1%,2.8%,55.6%,87.5%,46.9%
0.26,6.9%,8.6%,62.1%,55.6%,36.4%
