DR,A%,DF%,1stIn,1st%,2nd%
0.71,6.7%,3.8%,53.3%,66.1%,51.0%
0.75,5.9%,1.5%,73.5%,64.0%,55.6%
3.53,2.9%,2.9%,68.6%,79.2%,90.9%
0.78,6.6%,9.8%,65.6%,60.0%,33.3%
1.04,3.5%,4.7%,61.6%,60.4%,36.4%
1.18,9.7%,3.2%,60.2%,66.1%,62.2%
0.77,6.5%,2.2%,68.5%,60.3%,51.7%
0.76,1.7%,3.4%,69.0%,62.5%,38.9%
1.38,6.3%,7.9%,60.3%,68.4%,52.0%
1.60,2.2%,0.0%,63.0%,69.0%,64.7%
0.51,2.0%,4.1%,65.3%,43.8%,29.4%
0.93,0.0%,2.9%,70.6%,55.6%,50.0%
1.13,0.9%,3.7%,59.8%,67.2%,51.2%
1.67,2.0%,2.0%,70.6%,77.8%,53.3%
1.53,2.2%,2.2%,54.3%,72.0%,57.1%
0.47,2.4%,4.8%,64.3%,63.0%,46.7%
0.75,1.7%,5.0%,45.0%,66.7%,45.5%
0.78,4.5%,0.0%,58.2%,71.8%,53.6%
0.98,3.7%,3.7%,59.8%,69.4%,48.5%
0.92,1.0%,8.0%,56.0%,51.8%,43.2%
0.75,3.1%,2.0%,57.1%,58.9%,47.6%
-,-,-,-,-,-
0.87,1.1%,8.5%,53.2%,54.0%,40.9%
0.52,0.0%,9.7%,47.2%,73.5%,28.9%
1.17,1.8%,12.5%,39.3%,54.5%,52.9%
0.74,1.7%,3.4%,52.5%,67.7%,46.4%
0.81,3.3%,11.5%,41.0%,80.0%,30.6%
1.90,4.5%,6.8%,47.7%,85.7%,60.9%
0.84,5.7%,6.9%,55.2%,66.7%,38.5%
0.96,7.1%,7.1%,48.7%,70.9%,46.6%
1.17,6.0%,10.4%,59.7%,80.0%,37.0%
0.77,2.6%,5.2%,54.5%,59.5%,48.6%
1.18,7.3%,7.3%,48.8%,77.5%,52.4%
0.62,0.0%,17.0%,34.0%,55.6%,37.1%
1.13,1.1%,6.6%,53.8%,73.5%,40.5%
1.92,5.8%,5.8%,61.5%,65.6%,60.0%
1.00,3.4%,17.2%,48.3%,76.2%,37.8%
1.15,4.2%,8.5%,45.8%,68.5%,48.4%
0.84,0.0%,7.6%,44.8%,55.3%,50.0%
1.34,2.0%,6.1%,55.1%,77.8%,45.5%
1.08,2.8%,10.2%,50.9%,65.5%,43.4%
0.73,3.7%,6.1%,51.2%,64.3%,40.0%
0.96,5.8%,8.7%,55.8%,70.7%,37.0%
1.24,1.3%,9.1%,59.7%,78.3%,45.2%
1.45,3.6%,7.1%,57.1%,65.6%,54.2%
0.78,1.5%,9.2%,52.3%,50.0%,45.2%
1.21,0.0%,6.7%,53.9%,58.3%,51.2%
0.86,0.0%,5.4%,55.4%,61.0%,39.4%
0.92,4.1%,11.6%,54.5%,68.2%,50.9%
1.22,2.7%,13.3%,45.3%,70.6%,48.8%
1.21,2.6%,14.1%,55.1%,65.1%,48.6%
0.64,3.1%,15.4%,41.5%,59.3%,39.5%
1.27,1.7%,6.9%,51.7%,76.7%,53.6%
1.17,18.2%,12.1%,53.0%,80.0%,45.2%
1.13,2.6%,10.3%,53.8%,71.4%,47.2%
0.91,3.0%,12.1%,42.4%,64.3%,39.5%
0.92,1.9%,20.6%,36.4%,71.8%,44.1%
1.20,0.0%,8.2%,37.0%,70.4%,54.3%
0.79,4.0%,12.0%,41.3%,83.9%,34.1%
0.74,1.4%,9.5%,55.4%,58.5%,39.4%
1.78,0.0%,10.5%,36.8%,71.4%,66.7%
0.81,5.6%,3.3%,61.1%,69.1%,37.1%
0.74,1.6%,9.7%,46.8%,51.7%,39.4%
1.00,1.0%,6.1%,59.2%,56.9%,42.5%
1.28,4.6%,0.0%,64.6%,66.7%,56.5%
0.64,0.0%,5.6%,58.3%,59.5%,36.7%
0.82,2.4%,3.6%,54.8%,69.6%,47.4%
1.03,0.9%,7.9%,54.4%,67.7%,44.2%
1.15,2.7%,13.3%,57.3%,83.7%,37.5%
0.73,2.0%,6.1%,60.2%,61.0%,43.6%
0.63,6.2%,13.8%,60.0%,56.4%,34.6%
1.27,4.2%,9.9%,56.3%,72.5%,54.8%
0.44,3.5%,8.1%,50.0%,60.5%,48.8%
0.86,2.9%,11.8%,52.9%,69.4%,43.8%
1.35,1.3%,5.1%,55.7%,70.5%,57.1%
0.50,0.0%,3.2%,61.3%,42.1%,50.0%
0.71,1.9%,11.1%,55.6%,46.7%,41.7%
1.08,2.8%,9.3%,57.0%,75.4%,52.2%
0.79,3.6%,7.3%,49.1%,59.3%,60.7%
0.85,3.8%,12.8%,39.7%,87.1%,46.8%
0.63,3.0%,10.4%,43.3%,55.2%,34.2%
1.84,7.8%,13.7%,62.7%,84.4%,47.4%
1.19,1.4%,5.6%,54.2%,76.9%,51.5%
1.30,5.1%,11.9%,62.7%,73.0%,45.5%
0.91,0.0%,6.6%,58.5%,56.5%,36.4%
0.97,0.0%,6.1%,54.5%,59.3%,46.7%
0.87,1.7%,8.5%,65.0%,63.2%,34.1%
1.07,1.9%,8.7%,58.7%,70.5%,37.2%
1.70,4.0%,4.0%,56.0%,75.0%,63.6%
0.57,2.4%,9.5%,64.3%,44.4%,13.3%
1.12,1.3%,7.9%,65.8%,54.0%,38.5%
0.72,0.0%,7.3%,63.6%,62.9%,20.0%
1.50,1.6%,3.2%,59.7%,70.3%,56.0%
1.38,0.0%,8.7%,52.2%,66.7%,54.5%
0.66,2.5%,7.5%,57.5%,34.8%,35.3%
0.72,2.9%,10.3%,54.4%,67.6%,41.9%
1.19,4.5%,6.7%,60.7%,68.5%,45.7%
0.76,0.0%,11.1%,55.6%,54.3%,39.3%
