DR,A%,DF%,1stIn,1st%,2nd%
1.17,1.4%,1.4%,71.8%,66.7%,45.0%
0.74,1.6%,0.0%,58.1%,52.8%,34.6%
1.11,0.9%,1.8%,64.0%,61.6%,41.5%
2.02,7.1%,4.8%,71.4%,76.7%,58.3%
1.84,7.0%,7.0%,58.1%,68.0%,61.1%
1.74,10.4%,2.1%,77.1%,78.4%,63.6%
1.13,6.7%,2.7%,65.3%,63.3%,57.7%
1.56,4.2%,6.3%,68.8%,69.7%,46.7%
0.89,1.0%,5.1%,63.3%,53.2%,41.7%
1.41,3.2%,0.0%,66.1%,73.2%,52.4%
2.21,2.2%,4.3%,73.9%,79.4%,58.3%
0.79,0.0%,4.8%,53.2%,48.5%,27.6%
1.13,0.0%,3.5%,68.6%,59.3%,55.6%
1.58,1.8%,1.8%,64.3%,80.6%,45.0%
2.04,2.3%,0.0%,47.7%,76.2%,73.9%
1.50,3.4%,3.4%,60.3%,68.6%,65.2%
0.72,7.1%,1.2%,54.8%,54.3%,57.9%
1.30,2.9%,2.9%,58.6%,68.3%,51.7%
1.31,6.9%,6.9%,50.0%,69.4%,55.6%
0.71,1.4%,2.8%,71.8%,49.0%,50.0%
0.73,0.0%,4.4%,70.6%,50.0%,45.0%
1.52,1.8%,1.8%,58.9%,66.7%,69.6%
1.01,2.4%,2.4%,58.5%,56.9%,49.0%
0.58,0.0%,5.8%,63.5%,42.4%,42.1%
1.16,1.6%,4.9%,72.1%,59.1%,41.2%
0.72,3.3%,6.6%,72.1%,61.4%,52.9%
2.37,2.2%,0.0%,71.1%,87.5%,69.2%
0.90,2.0%,3.0%,62.6%,64.5%,51.4%
0.88,1.3%,7.5%,66.3%,54.7%,22.2%
1.23,1.6%,3.2%,62.9%,56.4%,60.9%
1.48,2.9%,0.0%,62.3%,74.4%,61.5%
0.89,2.1%,5.2%,67.0%,55.4%,34.4%
1.48,0.0%,4.8%,73.0%,60.9%,47.1%
0.95,1.7%,1.7%,70.2%,58.8%,55.6%
3.38,11.1%,0.0%,58.3%,81.0%,80.0%
1.15,5.6%,5.6%,58.3%,73.8%,43.3%
1.71,7.0%,2.3%,55.8%,75.0%,63.2%
1.04,8.7%,3.8%,64.4%,73.1%,54.1%
0.82,4.7%,3.1%,56.3%,69.4%,42.9%
0.98,2.1%,4.1%,62.9%,68.9%,38.9%
1.37,7.0%,7.0%,56.1%,59.4%,64.0%
0.50,2.2%,2.2%,60.9%,42.9%,55.6%
0.95,6.5%,7.5%,50.5%,68.1%,34.8%
0.53,5.1%,5.1%,44.1%,46.2%,45.5%
0.86,5.8%,5.8%,57.0%,57.1%,40.5%
0.87,2.2%,3.3%,60.0%,70.4%,50.0%
1.08,3.8%,4.7%,67.9%,80.6%,38.2%
1.22,14.0%,6.0%,60.0%,75.0%,57.5%
0.84,6.7%,2.9%,63.8%,82.1%,55.3%
0.66,6.3%,6.3%,61.9%,56.4%,37.5%
1.12,3.7%,1.2%,53.1%,67.4%,50.0%
0.97,0.0%,14.1%,50.0%,71.7%,41.3%
0.82,6.6%,10.5%,56.6%,55.8%,42.4%
1.47,9.6%,5.8%,65.4%,58.8%,72.2%
0.78,5.9%,7.8%,62.7%,68.8%,57.9%
0.98,0.8%,5.9%,69.5%,63.4%,55.6%
1.34,1.2%,3.6%,67.9%,77.2%,51.9%
1.23,2.7%,5.5%,56.2%,78.0%,50.0%
0.97,6.5%,1.9%,67.3%,73.6%,60.0%
1.32,3.6%,5.4%,60.7%,73.5%,63.6%
0.70,0.0%,3.6%,60.7%,56.9%,39.4%
0.96,2.3%,5.7%,52.9%,73.9%,41.5%
0.65,0.0%,1.8%,49.1%,63.0%,50.0%
1.08,1.9%,3.8%,67.9%,63.9%,47.1%
0.99,0.9%,7.2%,67.6%,64.0%,36.1%
1.18,3.4%,6.9%,60.9%,66.0%,47.1%
1.56,3.8%,5.7%,64.2%,73.5%,57.9%
0.83,0.0%,2.9%,77.1%,57.4%,43.8%
1.06,1.2%,2.3%,69.8%,68.3%,65.4%
2.06,2.3%,0.0%,68.2%,70.0%,71.4%
0.77,0.0%,4.9%,55.6%,60.0%,55.6%
1.15,0.0%,10.7%,56.0%,54.8%,63.6%
1.21,6.4%,6.4%,66.7%,67.3%,50.0%
0.86,2.8%,2.8%,63.4%,64.4%,26.9%
1.13,1.4%,7.1%,64.3%,66.7%,32.0%
1.27,6.1%,3.5%,71.3%,78.0%,54.5%
0.84,1.1%,5.4%,63.4%,54.2%,38.2%
1.26,6.5%,2.2%,64.5%,70.0%,66.7%
0.70,2.2%,4.4%,64.4%,75.9%,37.5%
1.25,1.2%,6.2%,65.4%,67.9%,57.1%
1.38,2.9%,2.9%,61.8%,76.2%,53.8%
2.16,7.5%,5.0%,67.5%,70.4%,76.9%
0.56,0.0%,9.1%,60.6%,40.0%,38.5%
0.85,0.0%,4.8%,63.5%,60.0%,52.2%
1.44,1.6%,1.6%,72.1%,81.8%,41.2%
1.23,1.7%,10.3%,60.3%,60.0%,43.5%
1.47,9.0%,3.4%,68.5%,80.3%,60.7%
2.44,2.7%,2.7%,67.6%,80.0%,75.0%
0.64,4.9%,2.4%,63.4%,46.2%,53.3%
2.78,8.1%,2.7%,48.6%,83.3%,68.4%
1.17,2.2%,4.3%,54.8%,64.7%,50.0%
0.81,3.0%,4.5%,55.2%,70.3%,50.0%
0.90,5.3%,6.4%,66.0%,77.4%,21.9%
1.91,4.4%,8.9%,55.6%,80.0%,50.0%
0.76,5.8%,7.7%,55.8%,62.1%,21.7%
0.98,1.9%,7.4%,54.6%,57.6%,53.1%
0.95,2.9%,6.8%,52.4%,64.8%,44.9%
0.66,2.9%,16.2%,52.9%,63.9%,40.6%
0.93,2.3%,5.7%,56.3%,61.2%,57.9%
1.09,3.3%,4.4%,57.8%,67.3%,47.4%
0.86,5.3%,2.7%,61.3%,58.7%,55.2%
