DR,A%,DF%,1stIn,1st%,2nd%
0.64,5.1%,3.8%,65.8%,65.4%,55.6%
0.82,0.0%,2.7%,68.0%,54.9%,41.7%
0.87,0.7%,3.5%,69.2%,63.6%,56.8%
1.36,5.0%,0.8%,72.5%,71.3%,60.6%
0.73,0.0%,0.0%,70.8%,56.9%,66.7%
1.98,4.7%,7.0%,67.4%,69.0%,64.3%
1.50,1.9%,3.8%,69.2%,69.4%,56.3%
0.63,1.6%,6.5%,67.7%,40.5%,45.0%
1.04,7.5%,3.8%,70.8%,69.3%,51.6%
1.41,10.3%,0.0%,53.4%,77.4%,59.3%
0.88,6.7%,1.0%,61.5%,56.3%,57.5%
0.84,6.3%,1.8%,68.8%,63.6%,57.1%
0.77,3.8%,3.8%,57.7%,66.7%,36.4%
0.68,1.8%,3.6%,73.2%,51.2%,33.3%
1.16,9.4%,3.4%,60.7%,77.5%,43.5%
1.07,4.9%,3.7%,65.4%,77.4%,50.0%
1.49,7.6%,3.3%,64.1%,84.7%,54.5%
0.71,4.9%,1.6%,62.3%,57.9%,47.8%
1.09,7.5%,4.3%,59.1%,72.7%,55.3%
0.75,5.8%,2.3%,66.3%,56.1%,41.4%
1.39,13.6%,0.0%,75.0%,69.7%,63.6%
1.32,8.3%,0.9%,67.6%,80.8%,54.3%
0.64,3.5%,1.8%,61.4%,60.0%,27.3%
1.47,1.5%,1.5%,71.6%,79.2%,73.7%
1.44,4.8%,0.0%,75.8%,74.5%,53.3%
0.85,4.0%,1.0%,72.0%,61.1%,64.3%
1.29,1.1%,1.1%,69.0%,73.3%,63.0%
1.33,3.1%,1.6%,67.2%,76.7%,52.4%
1.13,2.8%,1.4%,65.3%,74.5%,60.0%
0.92,9.6%,2.4%,75.9%,69.8%,55.0%
0.56,6.2%,1.2%,69.1%,53.6%,64.0%
1.21,8.5%,0.0%,74.5%,77.1%,54.2%
0.46,8.3%,1.7%,81.7%,67.3%,36.4%
0.76,5.4%,2.2%,68.5%,63.5%,51.7%
0.60,3.3%,1.7%,66.7%,57.5%,65.0%
1.26,13.7%,4.1%,67.1%,75.5%,54.2%
0.96,6.6%,0.8%,71.9%,66.7%,44.1%
1.45,4.9%,1.2%,75.6%,72.6%,55.0%
1.01,8.9%,1.8%,75.9%,75.3%,44.4%
0.88,1.2%,3.6%,66.7%,57.1%,28.6%
0.96,5.1%,2.5%,62.0%,61.2%,56.7%
0.79,1.9%,1.9%,73.1%,61.8%,50.0%
1.10,5.6%,4.6%,65.7%,73.2%,51.4%
1.36,2.9%,0.0%,70.6%,70.8%,60.0%
1.39,2.7%,0.0%,64.9%,75.0%,61.5%
1.16,1.0%,3.1%,73.2%,66.2%,46.2%
1.72,6.0%,0.0%,72.0%,80.6%,64.3%
0.70,1.3%,1.3%,65.8%,63.3%,56.9%
0.43,2.4%,0.0%,65.9%,63.0%,50.0%
1.00,0.0%,2.3%,70.2%,62.0%,48.7%
1.71,3.9%,0.0%,75.3%,77.6%,73.7%
1.17,4.1%,1.0%,73.5%,68.1%,61.5%
0.84,1.3%,2.6%,78.9%,61.7%,68.8%
0.66,1.3%,2.6%,71.4%,41.8%,59.1%
1.06,4.3%,2.6%,65.5%,72.4%,52.5%
0.83,2.7%,4.1%,64.4%,66.0%,46.2%
0.85,2.7%,4.1%,71.2%,59.6%,57.1%
0.79,1.7%,5.0%,61.7%,59.5%,43.5%
1.26,3.1%,4.6%,66.2%,67.4%,40.9%
1.31,1.5%,3.0%,62.7%,78.6%,52.0%
1.35,1.4%,2.9%,60.9%,66.7%,51.9%
1.35,2.7%,1.4%,63.0%,67.4%,55.6%
1.24,6.3%,3.1%,65.6%,73.8%,63.6%
0.62,0.0%,0.0%,69.6%,65.6%,14.3%
1.10,1.3%,2.7%,60.0%,57.8%,63.3%
1.23,7.3%,1.0%,72.9%,70.0%,73.1%
0.75,1.4%,2.9%,60.0%,54.8%,53.6%
1.06,5.1%,1.3%,70.9%,58.9%,60.9%
0.84,3.2%,0.0%,60.0%,62.7%,44.0%
0.58,0.0%,2.3%,61.4%,44.4%,35.3%
0.73,1.2%,4.8%,70.2%,61.0%,32.0%
1.23,4.2%,0.0%,62.5%,80.0%,51.9%
0.67,4.7%,1.6%,57.8%,67.6%,37.0%
0.68,4.9%,3.9%,67.0%,66.7%,23.5%
0.79,6.8%,1.7%,64.4%,73.7%,33.3%
0.68,10.0%,1.7%,76.7%,71.7%,42.9%
0.94,8.0%,2.0%,73.0%,65.8%,44.4%
1.08,3.9%,1.3%,75.3%,69.0%,47.4%
0.79,2.7%,0.9%,69.0%,67.9%,45.7%
0.85,4.8%,0.0%,64.4%,64.2%,35.1%
1.26,6.0%,1.2%,69.0%,67.2%,57.7%
0.62,1.9%,0.0%,66.0%,65.7%,38.9%
1.25,0.0%,1.5%,62.1%,70.7%,68.0%
0.65,4.2%,2.1%,70.8%,47.1%,42.9%
1.02,4.9%,1.2%,72.0%,64.4%,56.5%
0.66,6.0%,2.0%,56.0%,57.1%,54.5%
1.05,11.3%,0.0%,53.2%,81.8%,55.2%
1.22,5.4%,1.4%,70.3%,63.5%,68.2%
1.21,0.0%,1.4%,73.0%,66.7%,70.0%
0.91,1.2%,3.5%,78.8%,70.1%,38.9%
1.62,8.9%,1.8%,60.7%,79.4%,63.6%
0.50,0.0%,4.0%,66.0%,66.7%,58.8%
1.30,4.8%,1.0%,66.3%,73.9%,48.6%
0.77,2.6%,0.0%,68.0%,69.2%,63.3%
1.06,2.4%,3.3%,56.9%,72.9%,49.1%
1.21,8.7%,4.3%,61.7%,69.0%,47.7%
0.19,2.0%,3.9%,68.6%,54.3%,68.8%
