DR,A%,DF%,1stIn,1st%,2nd%
0.90,1.3%,3.8%,56.3%,51.1%,51.4%
2.03,0.0%,4.5%,59.1%,69.2%,61.1%
0.99,5.0%,5.0%,51.0%,70.6%,38.8%
0.91,2.7%,4.1%,61.6%,64.4%,46.4%
1.34,4.5%,0.0%,62.7%,66.7%,56.0%
1.11,7.2%,4.3%,58.0%,80.0%,37.9%
3.17,13.9%,2.8%,75.0%,81.5%,77.8%
1.06,6.9%,2.8%,68.1%,73.5%,52.2%
1.27,5.6%,2.8%,73.2%,65.4%,63.2%
1.22,5.6%,0.0%,66.2%,70.2%,54.2%
1.65,5.2%,5.2%,72.4%,73.8%,56.3%
1.47,0.0%,0.0%,59.6%,79.4%,47.8%
1.42,6.2%,3.1%,56.9%,64.9%,57.1%
0.62,10.9%,0.0%,79.7%,58.8%,46.2%
0.81,6.3%,6.3%,58.3%,64.3%,50.0%
1.50,1.7%,1.7%,67.2%,74.4%,52.6%
0.94,4.8%,2.9%,57.7%,50.0%,40.9%
1.05,3.9%,2.9%,68.6%,67.1%,37.5%
2.20,8.8%,0.0%,52.6%,86.7%,70.4%
2.13,2.3%,0.0%,72.7%,78.1%,58.3%
1.81,13.6%,4.5%,54.5%,87.5%,60.0%
1.08,4.9%,6.1%,63.4%,67.3%,36.7%
2.19,4.3%,2.2%,52.2%,83.3%,68.2%
0.87,7.7%,0.0%,65.4%,62.7%,70.4%
1.11,2.1%,1.0%,70.1%,58.8%,58.6%
1.49,4.9%,4.9%,71.6%,75.3%,58.6%
0.85,0.0%,2.0%,76.5%,46.2%,62.5%
0.75,9.5%,6.8%,66.2%,61.2%,44.0%
1.22,12.5%,1.3%,66.3%,79.2%,44.4%
1.54,6.8%,2.7%,63.0%,78.3%,66.7%
0.96,3.5%,3.5%,67.8%,61.5%,48.6%
0.72,3.2%,1.6%,64.5%,55.0%,45.5%
2.86,5.0%,5.0%,50.0%,90.0%,75.0%
0.67,13.1%,6.6%,63.9%,56.4%,40.9%
0.87,8.0%,4.0%,62.7%,66.0%,35.7%
0.79,11.3%,5.7%,60.4%,73.4%,40.5%
1.31,4.7%,4.7%,57.8%,70.3%,48.1%
1.24,12.1%,6.1%,50.0%,72.7%,48.5%
0.67,8.3%,6.3%,64.6%,61.3%,41.2%
1.61,15.0%,3.3%,68.3%,75.6%,68.4%
