DR,A%,DF%,1stIn,1st%,2nd%
1.23,4.5%,4.5%,53.7%,72.2%,51.6%
0.64,6.2%,2.5%,72.8%,72.9%,59.1%
0.79,1.0%,3.6%,61.4%,75.2%,48.7%
0.64,4.0%,6.0%,58.0%,79.3%,38.1%
0.32,4.4%,2.2%,68.9%,51.6%,28.6%
0.55,0.0%,1.9%,62.3%,60.6%,35.0%
0.70,1.4%,5.4%,66.2%,71.4%,48.0%
0.59,0.0%,0.0%,57.8%,53.8%,52.6%
0.78,3.7%,2.5%,65.4%,58.5%,46.4%
0.44,2.7%,5.5%,54.8%,67.5%,39.4%
0.34,5.1%,8.5%,61.0%,55.6%,39.1%
0.79,4.8%,10.3%,56.3%,71.8%,43.6%
1.15,2.6%,7.9%,55.3%,66.7%,41.2%
0.99,3.8%,5.4%,60.8%,62.0%,51.0%
1.30,2.8%,7.0%,50.7%,80.6%,57.1%
0.81,1.8%,1.8%,67.3%,64.9%,47.2%
0.92,4.9%,12.6%,50.5%,73.1%,45.1%
0.79,3.6%,1.8%,50.0%,71.4%,53.6%
1.08,4.2%,1.4%,56.9%,61.0%,58.1%
0.83,4.4%,3.3%,58.9%,66.0%,40.5%
1.20,9.3%,7.2%,53.6%,75.0%,42.2%
0.56,0.0%,2.4%,53.7%,45.5%,42.1%
1.72,2.0%,5.9%,62.7%,84.4%,68.4%
0.79,2.0%,3.9%,60.8%,67.7%,47.5%
0.80,2.3%,6.9%,60.9%,56.6%,50.0%
1.00,6.5%,5.4%,58.7%,70.4%,42.1%
0.97,0.0%,3.3%,67.4%,67.7%,46.7%
0.93,2.6%,5.1%,66.7%,61.5%,34.6%
0.96,0.8%,3.2%,67.5%,70.6%,41.5%
1.67,0.0%,0.0%,58.3%,71.4%,70.0%
1.17,3.2%,6.5%,59.7%,64.9%,60.0%
0.84,1.4%,2.9%,59.4%,61.0%,25.0%
0.90,2.0%,1.0%,62.6%,66.1%,56.8%
1.83,0.0%,0.0%,74.1%,75.0%,42.9%
0.87,2.5%,1.9%,67.3%,60.6%,49.1%
1.27,0.0%,0.0%,58.1%,66.7%,50.0%
1.19,3.0%,7.5%,61.2%,61.0%,46.2%
1.90,0.0%,2.4%,58.5%,66.7%,76.5%
0.93,0.0%,6.4%,56.9%,67.7%,44.7%
2.07,2.9%,2.9%,42.9%,86.7%,60.0%
1.26,4.1%,2.0%,49.0%,58.3%,48.0%
0.49,0.0%,7.1%,57.1%,56.3%,33.3%
1.39,0.0%,0.0%,50.0%,66.7%,59.3%
0.97,1.5%,7.5%,49.3%,75.8%,50.0%
0.97,0.9%,1.8%,64.3%,54.2%,57.5%
1.45,4.0%,2.0%,56.0%,67.9%,59.1%
1.20,0.0%,0.0%,61.4%,69.8%,44.4%
1.56,0.0%,3.5%,73.7%,71.4%,66.7%
1.04,4.1%,5.4%,68.9%,68.6%,39.1%
1.23,1.4%,0.0%,69.4%,72.0%,63.6%
1.43,0.0%,8.3%,41.7%,70.0%,46.4%
1.54,0.0%,0.0%,56.3%,81.5%,57.1%
0.79,0.0%,1.7%,71.2%,47.6%,47.1%
1.41,1.8%,3.5%,77.2%,79.5%,46.2%
1.21,3.1%,1.0%,64.6%,66.1%,67.6%
0.60,0.0%,3.9%,74.5%,39.5%,38.5%
0.94,0.9%,6.5%,65.7%,56.3%,40.5%
1.32,1.5%,1.5%,56.7%,73.7%,41.4%
1.12,0.0%,1.4%,70.0%,65.3%,42.9%
1.17,0.0%,3.4%,60.7%,66.7%,62.9%
0.65,2.1%,6.4%,51.1%,54.2%,30.4%
0.60,2.2%,6.7%,60.0%,59.3%,16.7%
1.31,2.8%,5.6%,52.8%,71.1%,55.9%
1.08,0.0%,3.6%,62.7%,69.2%,45.2%
