DR,A%,DF%,1stIn,1st%,2nd%
1.65,7.4%,0.0%,42.6%,73.9%,80.6%
1.04,10.5%,5.3%,50.0%,81.6%,63.2%
0.73,3.9%,1.3%,51.3%,56.4%,48.6%
1.11,8.8%,11.3%,56.3%,80.0%,51.4%
0.99,6.1%,7.1%,56.1%,67.3%,58.1%
1.34,12.0%,2.7%,62.7%,80.9%,60.7%
1.25,4.1%,2.7%,46.6%,73.5%,64.1%
1.91,12.0%,4.0%,56.0%,82.1%,68.2%
0.87,12.7%,7.6%,50.6%,87.5%,41.0%
0.90,11.8%,3.4%,60.5%,62.5%,55.3%
0.96,9.4%,5.5%,59.1%,73.3%,42.3%
1.83,8.9%,8.9%,71.1%,78.1%,53.8%
0.76,8.3%,5.0%,61.7%,85.1%,56.5%
1.06,12.3%,4.9%,60.5%,81.6%,53.1%
0.57,4.3%,2.2%,60.9%,69.6%,44.4%
0.97,2.3%,6.9%,63.2%,54.5%,46.9%
1.59,10.6%,6.4%,61.7%,79.3%,50.0%
1.24,11.8%,4.4%,54.4%,64.9%,45.2%
0.99,8.3%,6.3%,54.2%,84.6%,59.1%
0.96,1.6%,8.2%,52.5%,56.3%,60.3%
1.87,8.7%,2.2%,58.7%,70.4%,78.9%
1.03,2.6%,9.1%,50.6%,71.8%,55.3%
1.22,7.7%,2.6%,61.5%,72.9%,56.7%
1.33,2.9%,2.9%,62.3%,74.4%,53.8%
1.87,14.9%,0.0%,59.6%,78.6%,68.4%
0.64,7.7%,4.6%,55.4%,72.2%,37.9%
1.96,4.5%,0.0%,61.4%,63.0%,88.2%
1.17,7.0%,1.8%,68.4%,76.9%,50.0%
0.81,1.4%,4.1%,54.8%,50.0%,45.5%
0.62,9.6%,5.8%,59.6%,71.0%,33.3%
0.92,7.1%,7.9%,60.6%,70.1%,46.0%
0.81,17.6%,5.9%,55.9%,68.4%,46.7%
1.22,6.9%,4.9%,58.8%,78.3%,45.2%
0.85,15.9%,4.8%,57.1%,75.0%,37.0%
0.61,16.1%,12.5%,48.2%,66.7%,48.3%
1.70,29.0%,0.0%,64.5%,80.0%,72.7%
0.31,18.2%,4.5%,45.5%,60.0%,50.0%
1.00,10.1%,5.1%,68.4%,75.9%,52.0%
0.75,9.5%,2.6%,57.8%,73.1%,49.0%
2.04,14.7%,8.8%,58.8%,95.0%,50.0%
0.60,17.8%,5.5%,56.2%,82.9%,56.3%
2.45,6.5%,0.0%,54.3%,88.0%,85.7%
1.18,8.8%,3.8%,61.3%,69.4%,64.5%
1.21,8.3%,6.0%,58.3%,81.6%,42.9%
0.82,11.1%,9.1%,58.6%,75.9%,34.1%
1.79,13.3%,1.7%,58.3%,91.4%,60.0%
1.69,11.6%,4.7%,55.8%,79.2%,57.9%
0.65,8.6%,2.3%,57.8%,71.6%,42.6%
1.61,18.9%,7.5%,49.1%,96.2%,51.9%
1.05,15.7%,2.4%,63.9%,75.5%,53.3%
0.78,7.3%,0.0%,58.2%,81.3%,47.8%
1.05,11.0%,5.5%,66.1%,73.8%,44.2%
0.88,5.3%,0.9%,61.9%,62.9%,53.5%
0.67,12.1%,3.4%,51.7%,70.0%,32.1%
0.72,3.8%,8.9%,44.3%,60.0%,43.2%
0.83,7.2%,1.2%,61.4%,62.7%,46.9%
1.26,4.9%,1.6%,65.6%,67.5%,61.9%
1.38,11.0%,5.5%,56.0%,76.5%,57.5%
0.88,2.2%,3.4%,66.3%,49.2%,50.0%
1.28,2.5%,2.5%,62.5%,70.0%,70.0%
0.67,3.0%,3.0%,56.7%,63.2%,44.8%
0.87,7.8%,4.7%,53.1%,76.5%,36.7%
0.77,7.1%,2.4%,66.7%,71.4%,57.1%
1.31,16.7%,3.3%,60.0%,77.8%,62.5%
2.38,31.0%,2.4%,66.7%,85.7%,64.3%
0.95,12.1%,3.0%,62.6%,74.2%,43.2%
1.37,17.6%,0.0%,58.8%,70.0%,66.7%
1.01,14.2%,4.4%,62.8%,74.6%,47.6%
1.20,5.5%,5.5%,67.1%,71.4%,41.7%
1.33,10.2%,1.7%,50.8%,80.0%,62.1%
0.67,14.3%,2.0%,65.3%,71.9%,29.4%
0.60,4.1%,8.2%,57.1%,46.4%,52.4%
2.35,19.5%,2.4%,65.9%,85.2%,71.4%
0.79,5.7%,4.3%,62.9%,70.5%,42.3%
0.89,10.1%,3.7%,53.2%,81.0%,51.0%
0.65,3.3%,5.0%,50.0%,73.3%,23.3%
0.51,12.5%,7.1%,50.0%,71.4%,57.1%
0.32,18.2%,6.1%,63.6%,73.8%,45.8%
0.56,5.9%,5.9%,41.2%,71.4%,30.0%
0.54,4.3%,6.5%,52.2%,58.3%,40.9%
1.53,18.5%,0.0%,66.2%,81.4%,63.6%
1.18,7.6%,3.3%,64.1%,67.8%,63.6%
1.29,4.9%,0.0%,67.2%,80.5%,35.0%
1.27,4.7%,4.7%,56.3%,69.4%,67.9%
0.50,2.9%,2.9%,58.8%,50.0%,35.7%
1.02,5.0%,2.0%,64.0%,71.9%,55.6%
1.17,9.0%,4.0%,54.0%,77.8%,60.9%
0.45,1.6%,4.8%,55.6%,62.9%,42.9%
1.37,9.7%,1.6%,51.6%,75.0%,56.7%
1.71,2.1%,4.3%,61.7%,82.8%,55.6%
1.00,4.6%,1.9%,58.3%,74.6%,42.2%
1.01,2.0%,1.0%,52.5%,55.8%,53.2%
1.06,8.8%,2.9%,60.8%,72.6%,30.0%
0.93,5.3%,4.3%,62.8%,61.0%,48.6%
0.99,5.9%,7.6%,48.7%,70.7%,44.3%
0.84,3.9%,2.6%,58.4%,68.9%,50.0%
0.81,7.1%,6.1%,55.6%,78.2%,43.2%
0.96,1.9%,1.9%,70.4%,57.9%,43.8%
0.93,4.4%,6.6%,53.8%,67.3%,40.5%
1.01,5.3%,8.0%,42.7%,84.4%,46.5%
0.97,4.2%,5.0%,55.5%,77.3%,47.2%
0.82,3.8%,9.6%,50.0%,65.4%,42.3%
1.24,5.3%,3.9%,46.1%,74.3%,56.1%
1.06,17.7%,5.1%,67.1%,83.0%,57.7%
0.62,8.2%,6.8%,57.5%,71.4%,32.3%
1.71,12.5%,3.6%,62.5%,88.6%,47.6%
0.45,8.8%,15.8%,54.4%,71.0%,23.1%
0.95,7.6%,2.5%,54.4%,74.4%,55.6%
0.56,10.0%,5.7%,64.3%,64.4%,36.0%
0.76,20.0%,6.3%,67.4%,79.7%,54.8%
1.52,6.3%,4.7%,57.8%,75.7%,70.4%
1.04,17.7%,5.2%,62.5%,81.7%,58.3%
2.11,20.4%,8.2%,59.2%,86.2%,65.0%
0.70,11.3%,4.8%,61.3%,86.8%,45.8%
0.70,9.5%,7.1%,61.9%,61.5%,43.8%
1.50,27.5%,7.5%,70.0%,85.7%,41.7%
0.71,17.5%,0.0%,66.7%,69.0%,52.4%
0.56,7.5%,3.8%,52.8%,64.3%,36.0%
1.04,13.8%,6.9%,58.6%,80.4%,58.3%
0.69,4.9%,6.6%,54.1%,72.7%,35.7%
0.73,11.5%,9.8%,50.8%,77.4%,33.3%
1.81,8.7%,6.5%,52.2%,75.0%,72.7%
0.69,3.4%,6.8%,55.9%,57.6%,38.5%
1.08,4.9%,1.2%,51.9%,73.8%,56.4%
0.65,8.2%,2.7%,60.3%,54.5%,34.5%
0.47,5.4%,3.6%,57.1%,53.1%,45.8%
1.47,9.1%,3.6%,65.5%,77.8%,52.6%
0.54,4.4%,2.9%,57.4%,53.8%,41.4%
1.30,10.4%,6.5%,48.1%,86.5%,62.5%
0.68,10.2%,13.6%,44.1%,61.5%,45.5%
0.86,9.4%,8.2%,51.8%,75.0%,53.7%
1.02,18.6%,9.3%,51.2%,81.8%,52.4%
0.85,4.4%,3.3%,52.7%,56.3%,46.5%
0.84,6.1%,3.7%,58.5%,64.6%,52.9%
0.78,17.7%,4.4%,66.4%,76.0%,55.3%
0.60,11.5%,3.8%,65.4%,41.2%,33.3%
1.53,10.0%,1.7%,56.7%,79.4%,61.5%
0.94,2.2%,6.6%,63.7%,60.3%,39.4%
1.32,11.8%,7.5%,58.1%,81.5%,51.3%
0.46,0.0%,3.6%,50.9%,57.1%,33.3%
1.22,7.8%,0.0%,58.4%,68.9%,68.8%
0.97,2.2%,5.4%,54.3%,70.0%,47.6%
1.37,10.6%,3.5%,63.5%,75.9%,64.5%
1.46,14.8%,4.9%,50.8%,87.1%,60.0%
1.71,7.7%,3.8%,61.5%,78.1%,60.0%
1.84,6.7%,6.7%,57.8%,76.9%,68.4%
1.30,14.0%,6.5%,59.1%,76.4%,44.7%
0.95,11.6%,9.5%,51.6%,71.4%,43.5%
1.30,19.8%,0.0%,63.0%,70.6%,70.0%
1.21,13.6%,3.0%,53.0%,71.4%,54.8%
0.92,12.0%,9.6%,51.8%,79.1%,45.0%
0.46,2.6%,2.6%,57.9%,45.5%,37.5%
0.88,6.4%,8.5%,55.3%,65.4%,61.9%
0.98,8.9%,7.9%,56.4%,73.7%,47.7%
0.72,5.9%,2.0%,54.9%,78.6%,43.5%
1.66,11.7%,1.3%,62.3%,81.3%,58.6%
0.94,8.4%,2.4%,72.3%,61.7%,43.5%
0.98,7.0%,4.7%,60.5%,78.8%,35.3%
1.67,5.1%,3.4%,50.8%,73.3%,62.1%
1.76,18.4%,2.0%,60.2%,83.1%,69.2%
0.72,16.9%,7.7%,47.7%,90.3%,47.1%
1.12,7.4%,2.1%,62.1%,81.4%,66.7%
1.14,11.3%,7.0%,52.1%,83.8%,52.9%
0.42,9.2%,4.6%,47.7%,77.4%,47.1%
0.78,9.7%,6.5%,59.7%,67.6%,48.0%
0.31,7.1%,0.0%,39.3%,63.6%,64.7%
0.54,10.0%,7.1%,62.9%,72.7%,38.5%
0.54,8.1%,5.8%,53.5%,73.9%,42.5%
0.91,8.7%,4.3%,65.2%,83.3%,53.1%
0.89,5.9%,0.0%,62.4%,73.6%,46.9%
1.26,10.7%,8.3%,53.6%,75.6%,48.7%
0.92,11.9%,8.5%,62.7%,75.7%,45.5%
1.18,17.1%,3.7%,56.1%,82.6%,52.8%
1.50,24.7%,4.5%,68.5%,91.8%,57.1%
0.56,12.2%,1.1%,63.3%,66.7%,54.5%
0.48,6.0%,6.0%,58.0%,51.7%,28.6%
0.76,10.8%,4.1%,67.6%,54.0%,50.0%
1.16,12.0%,5.4%,52.2%,81.3%,56.8%
2.30,15.9%,6.8%,61.4%,88.9%,58.8%
0.95,7.3%,7.3%,46.9%,71.1%,37.3%
0.47,2.0%,0.0%,55.1%,55.6%,36.4%
0.94,7.3%,3.6%,52.7%,69.0%,50.0%
0.90,8.9%,4.0%,57.3%,70.4%,47.2%
1.16,9.9%,3.3%,51.2%,80.6%,49.2%
1.21,18.1%,2.8%,50.0%,86.1%,52.8%
0.42,13.0%,4.3%,60.9%,78.6%,33.3%
1.29,14.8%,3.4%,61.4%,72.2%,55.9%
1.28,0.0%,3.6%,72.7%,70.0%,53.3%
1.04,6.7%,12.4%,52.8%,80.9%,40.5%
1.37,4.9%,6.6%,55.7%,76.5%,51.9%
1.61,8.6%,6.9%,53.4%,80.6%,59.3%
0.89,5.7%,5.0%,59.6%,61.9%,38.6%
0.80,6.8%,5.1%,67.8%,57.5%,47.4%
0.83,3.0%,4.5%,71.6%,64.6%,52.6%
1.41,10.3%,3.4%,60.3%,68.6%,69.6%
0.68,8.5%,12.8%,48.9%,69.6%,37.5%
0.59,0.0%,9.1%,38.6%,35.3%,29.6%
1.05,4.7%,5.8%,60.5%,75.0%,35.3%
1.28,11.1%,12.5%,54.2%,82.1%,45.5%
0.88,5.6%,4.2%,62.5%,57.8%,33.3%
1.00,0.0%,0.0%,37.5%,33.3%,80.0%
0.86,9.6%,3.6%,51.8%,74.4%,37.5%
1.16,4.4%,7.8%,48.9%,75.0%,52.2%
1.53,8.5%,3.4%,49.2%,89.7%,56.7%
2.20,2.4%,4.8%,45.2%,89.5%,60.9%
0.84,4.4%,4.4%,47.1%,75.0%,55.6%
1.18,2.3%,2.3%,54.0%,76.6%,52.5%
0.69,4.3%,6.4%,53.2%,76.0%,31.8%
0.33,2.2%,6.5%,43.5%,40.0%,38.5%
0.95,9.0%,3.8%,43.6%,76.5%,47.7%
0.36,2.8%,5.6%,61.1%,45.5%,42.9%
0.87,2.9%,2.9%,53.9%,61.8%,59.6%
1.56,11.5%,3.8%,48.1%,76.0%,59.3%
0.52,6.5%,8.7%,50.0%,60.9%,30.4%
1.09,6.9%,6.9%,48.6%,74.3%,37.8%
0.72,7.2%,0.0%,60.9%,66.7%,59.3%
1.99,20.8%,2.1%,68.8%,87.9%,60.0%
1.10,9.0%,4.5%,57.3%,64.7%,44.7%
1.35,8.2%,9.8%,59.0%,83.3%,44.0%
0.66,3.4%,1.1%,52.3%,65.2%,45.2%
0.63,3.0%,0.0%,63.6%,59.5%,41.7%
0.59,11.6%,4.3%,56.5%,66.7%,46.7%
0.68,6.1%,0.0%,62.6%,62.9%,43.2%
0.45,11.5%,3.8%,53.8%,85.7%,37.5%
1.11,20.0%,3.5%,67.1%,68.4%,57.1%
0.45,16.7%,0.0%,76.2%,65.6%,40.0%
0.72,15.0%,10.0%,50.0%,73.3%,46.7%
1.31,28.3%,1.7%,56.7%,76.5%,65.4%
1.56,26.7%,5.0%,71.7%,88.4%,52.9%
1.45,26.2%,7.7%,52.3%,88.2%,54.8%
0.75,6.8%,9.5%,40.5%,60.0%,54.5%
0.84,5.5%,2.8%,55.0%,70.0%,53.1%
1.15,11.5%,3.3%,55.7%,76.5%,51.9%
0.80,10.2%,0.0%,54.5%,62.5%,65.0%
1.06,11.9%,6.0%,53.7%,75.0%,51.6%
0.73,8.3%,5.0%,60.0%,52.8%,33.3%
0.82,6.4%,6.4%,56.4%,68.2%,38.2%
0.77,5.9%,7.9%,48.5%,81.6%,51.9%
0.66,5.0%,11.7%,50.0%,83.3%,33.3%
1.40,3.4%,5.1%,50.8%,80.0%,62.1%
0.79,10.9%,1.1%,55.4%,74.5%,41.5%
0.88,5.2%,6.3%,58.3%,66.1%,47.5%
1.08,9.3%,2.3%,45.3%,82.1%,61.7%
1.45,8.3%,4.2%,64.6%,67.7%,52.9%
0.94,12.5%,1.6%,62.5%,70.0%,37.5%
3.14,11.9%,2.4%,42.9%,88.9%,83.3%
1.02,12.8%,2.8%,62.4%,72.1%,53.7%
