DR,A%,DF%,1stIn,1st%,2nd%
1.51,20.0%,1.8%,58.2%,84.4%,47.8%
2.03,19.6%,2.0%,70.6%,83.3%,73.3%
0.55,3.9%,5.9%,64.7%,54.5%,38.9%
1.50,3.7%,3.7%,59.3%,81.3%,40.9%
1.74,10.6%,4.3%,59.6%,78.6%,63.2%
0.71,2.7%,1.8%,59.8%,64.2%,51.1%
1.02,3.8%,3.8%,66.3%,67.9%,48.1%
1.23,10.3%,3.4%,63.8%,81.1%,47.6%
0.94,7.8%,5.2%,63.5%,74.0%,45.2%
0.63,2.8%,2.8%,77.5%,67.3%,37.5%
0.47,3.8%,1.9%,67.3%,57.1%,58.8%
1.00,10.1%,2.3%,62.8%,81.5%,35.4%
1.99,2.2%,0.0%,71.7%,81.8%,69.2%
0.64,7.6%,1.5%,68.2%,68.9%,52.4%
0.98,20.3%,0.8%,57.6%,76.5%,50.0%
0.95,6.5%,4.3%,73.9%,70.6%,41.7%
1.01,14.3%,10.7%,57.1%,78.1%,45.8%
1.46,6.1%,0.0%,54.5%,66.7%,60.0%
1.48,6.7%,2.7%,69.3%,76.9%,43.5%
0.55,10.7%,3.6%,66.1%,70.3%,36.8%
1.19,4.5%,6.0%,58.2%,82.1%,46.4%
1.22,4.4%,4.4%,58.2%,67.9%,63.2%
0.64,3.7%,1.9%,53.7%,69.0%,36.0%
0.94,9.9%,4.1%,66.9%,85.2%,40.0%
1.24,25.7%,0.0%,71.4%,88.0%,40.0%
1.26,19.7%,3.3%,54.1%,81.8%,57.1%
0.68,1.3%,5.1%,59.5%,51.1%,46.9%
0.73,17.2%,3.1%,50.0%,78.1%,34.4%
0.66,4.2%,6.3%,50.0%,70.8%,41.7%
0.72,10.6%,4.5%,59.1%,69.2%,37.0%
0.71,4.8%,11.3%,51.6%,62.5%,33.3%
1.06,10.8%,3.1%,60.0%,82.1%,53.8%
0.98,12.8%,2.4%,56.8%,77.5%,44.4%
1.22,21.6%,4.1%,63.5%,80.9%,59.3%
0.36,11.3%,5.7%,54.7%,75.9%,50.0%
