DR,A%,DF%,1stIn,1st%,2nd%
0.94,1.0%,1.0%,79.8%,67.1%,45.0%
2.33,0.0%,0.0%,87.0%,85.0%,50.0%
0.63,2.4%,4.9%,75.6%,58.1%,30.0%
0.69,2.9%,2.9%,65.2%,62.2%,45.8%
1.01,1.6%,3.2%,82.5%,59.6%,36.4%
1.67,0.0%,2.2%,78.3%,63.9%,60.0%
1.44,4.0%,2.7%,73.3%,72.7%,60.0%
0.81,4.7%,2.8%,67.9%,69.4%,50.0%
1.41,0.0%,6.2%,66.2%,69.8%,54.5%
1.36,7.2%,4.3%,73.9%,80.4%,55.6%
0.38,1.2%,3.5%,60.5%,67.3%,50.0%
1.20,1.3%,5.2%,72.7%,73.2%,42.9%
2.12,24.4%,0.0%,64.4%,82.8%,75.0%
1.03,3.8%,3.8%,58.2%,73.9%,63.6%
0.49,4.8%,3.6%,70.2%,52.5%,48.0%
1.19,1.7%,3.4%,69.0%,65.0%,61.1%
0.71,9.4%,1.9%,61.3%,66.2%,51.2%
1.49,3.4%,0.0%,84.5%,67.3%,88.9%
0.47,4.5%,1.5%,64.2%,65.1%,54.2%
2.22,8.3%,0.0%,72.9%,85.7%,61.5%
0.55,2.4%,2.4%,61.0%,48.0%,18.8%
0.68,1.4%,4.1%,63.0%,60.9%,51.9%
0.82,0.0%,6.9%,58.6%,64.7%,33.3%
1.14,1.2%,3.5%,71.8%,70.5%,54.2%
1.24,1.8%,1.8%,69.3%,55.7%,54.3%
1.32,9.7%,3.2%,71.0%,77.3%,22.2%
0.85,9.6%,2.7%,61.6%,77.8%,42.9%
1.02,3.4%,0.0%,62.1%,72.2%,36.4%
0.71,1.4%,2.8%,70.8%,47.1%,38.1%
1.13,1.6%,1.6%,65.6%,65.0%,52.4%
0.82,0.0%,1.2%,72.8%,52.5%,63.6%
1.03,4.5%,1.8%,71.8%,62.0%,45.2%
1.19,0.0%,0.0%,82.7%,46.5%,77.8%
0.91,0.0%,3.2%,78.9%,60.0%,60.0%
1.16,0.0%,0.0%,78.9%,57.1%,73.3%
1.11,1.0%,2.1%,69.8%,55.2%,72.4%
1.00,0.0%,1.2%,72.1%,58.1%,45.8%
1.08,2.5%,0.0%,76.3%,65.6%,78.9%
0.98,4.1%,3.1%,72.4%,66.2%,48.1%
1.57,1.9%,1.9%,72.2%,71.8%,53.3%
0.86,3.1%,1.5%,67.7%,68.2%,42.9%
1.01,3.4%,1.1%,75.3%,58.2%,54.5%
0.75,7.8%,2.0%,81.4%,68.7%,26.3%
0.63,3.6%,0.0%,83.6%,47.8%,55.6%
1.70,7.8%,0.0%,82.4%,73.8%,77.8%
1.21,5.8%,0.0%,73.9%,70.6%,61.1%
0.86,6.3%,1.8%,64.9%,65.3%,51.3%
0.70,7.8%,7.8%,70.6%,58.3%,53.3%
0.77,5.7%,2.3%,67.8%,64.4%,28.6%
1.20,1.3%,1.3%,67.5%,69.2%,60.0%
1.63,2.0%,2.0%,77.6%,76.3%,54.5%
1.42,3.3%,1.7%,71.7%,74.4%,70.6%
0.71,0.0%,1.8%,61.8%,52.9%,47.6%
0.47,0.0%,9.1%,56.8%,56.0%,21.1%
0.91,1.1%,2.2%,71.1%,67.2%,42.3%
1.17,1.4%,1.4%,62.2%,65.2%,50.0%
1.64,8.9%,8.9%,73.3%,75.8%,58.3%
2.42,7.1%,7.1%,59.5%,88.0%,64.7%
0.58,0.0%,1.8%,63.6%,37.1%,50.0%
1.31,1.1%,1.1%,63.7%,74.1%,69.7%
1.19,7.6%,0.0%,67.1%,67.9%,46.2%
0.76,3.4%,1.1%,69.7%,58.1%,55.6%
1.36,3.2%,8.1%,62.9%,71.8%,43.5%
0.67,1.7%,2.5%,66.9%,57.0%,64.1%
0.86,2.8%,2.8%,78.3%,60.2%,34.8%
1.69,15.6%,0.0%,62.2%,71.4%,70.6%
1.07,1.9%,1.9%,66.3%,59.4%,54.3%
0.69,1.9%,1.9%,75.0%,56.4%,53.8%
1.42,1.9%,1.9%,84.6%,65.9%,62.5%
1.41,3.3%,3.3%,63.3%,71.1%,50.0%
3.39,5.4%,2.7%,56.8%,85.7%,87.5%
0.73,3.8%,1.9%,61.5%,68.8%,55.0%
1.24,2.9%,0.0%,63.8%,61.4%,60.0%
1.31,1.8%,0.0%,66.1%,67.6%,57.9%
0.96,2.7%,2.7%,65.8%,64.4%,57.9%
0.50,4.3%,2.2%,76.1%,62.9%,54.5%
0.94,0.9%,0.9%,75.7%,75.3%,46.2%
2.08,8.7%,0.0%,65.2%,76.7%,87.5%
0.60,6.0%,6.0%,62.0%,51.6%,47.4%
2.33,0.0%,2.4%,71.4%,83.3%,66.7%
0.68,0.0%,5.4%,59.5%,59.1%,26.7%
0.50,0.0%,12.2%,61.0%,52.0%,31.3%
0.49,0.0%,7.3%,61.0%,44.0%,25.0%
0.55,6.7%,3.3%,65.0%,64.1%,57.1%
1.90,21.2%,1.9%,71.2%,73.0%,66.7%
0.72,1.6%,4.8%,68.3%,46.5%,45.0%
1.50,6.9%,0.0%,55.2%,81.3%,53.8%
1.22,8.1%,2.7%,60.8%,66.7%,62.1%
1.27,7.7%,2.6%,66.7%,67.3%,50.0%
1.41,6.1%,1.5%,65.2%,65.1%,65.2%
1.78,7.7%,1.9%,67.3%,74.3%,76.5%
1.07,5.7%,3.4%,64.8%,66.7%,51.6%
1.06,0.0%,1.3%,62.8%,65.3%,62.1%
1.90,9.8%,2.4%,56.1%,69.6%,77.8%
0.86,12.3%,0.0%,63.2%,69.4%,33.3%
0.73,0.0%,1.0%,54.6%,60.4%,52.3%
0.48,2.1%,4.2%,60.4%,48.3%,47.4%
1.46,1.8%,1.8%,74.5%,73.2%,64.3%
1.57,3.8%,3.8%,59.6%,71.0%,66.7%
0.67,2.3%,4.5%,59.1%,53.8%,38.9%
1.09,1.9%,1.9%,70.9%,58.9%,46.7%
1.03,0.0%,0.0%,64.9%,74.0%,51.9%
1.59,3.8%,0.0%,77.4%,82.9%,41.7%
2.46,2.4%,7.3%,51.2%,90.5%,70.0%
0.66,3.9%,1.3%,77.9%,55.0%,58.8%
0.34,3.6%,0.0%,76.4%,52.4%,38.5%
1.17,1.3%,1.3%,70.9%,69.6%,52.2%
1.00,0.8%,0.8%,68.3%,59.5%,43.6%
1.01,1.6%,2.4%,76.8%,60.4%,62.1%
1.48,4.0%,2.0%,80.0%,72.5%,50.0%
0.56,6.4%,0.0%,66.0%,45.2%,62.5%
1.66,14.0%,4.0%,58.0%,82.8%,61.9%
0.30,0.0%,4.8%,76.2%,46.9%,30.0%
1.10,1.2%,0.0%,75.9%,63.5%,40.0%
0.72,3.4%,3.4%,57.6%,58.8%,76.0%
0.89,0.0%,1.9%,68.3%,57.7%,54.5%
0.92,1.4%,4.3%,65.2%,64.4%,33.3%
1.12,2.2%,4.3%,64.1%,71.2%,54.5%
0.78,0.0%,0.0%,70.9%,38.5%,50.0%
1.80,0.0%,0.0%,72.2%,79.5%,60.0%
1.34,4.7%,2.3%,76.7%,51.5%,80.0%
0.97,4.8%,3.2%,72.6%,82.2%,47.1%
0.76,14.3%,1.8%,71.4%,55.0%,68.8%
0.89,1.0%,4.1%,77.3%,61.3%,40.9%
0.76,0.0%,1.7%,59.3%,54.3%,41.7%
2.10,2.1%,4.2%,75.0%,77.8%,83.3%
0.97,2.4%,1.2%,66.3%,61.8%,53.6%
0.74,0.0%,2.5%,61.3%,59.2%,51.6%
1.19,3.7%,2.5%,67.9%,76.4%,34.6%
0.63,0.0%,3.2%,66.7%,56.5%,25.8%
0.66,13.2%,15.8%,52.6%,80.0%,38.9%
0.38,1.9%,3.8%,60.4%,46.9%,52.4%
0.71,3.6%,5.5%,63.6%,71.4%,55.0%
0.67,5.1%,1.7%,71.2%,47.6%,47.1%
