DR,A%,DF%,1stIn,1st%,2nd%
1.53,2.0%,3.9%,66.7%,61.8%,47.1%
1.42,0.0%,0.0%,86.3%,61.4%,71.4%
1.52,1.9%,1.9%,75.9%,61.0%,61.5%
1.63,0.0%,2.4%,88.1%,67.6%,40.0%
1.07,2.6%,2.6%,84.4%,58.5%,58.3%
1.10,1.1%,3.3%,71.4%,53.8%,53.8%
1.34,0.0%,10.0%,82.5%,63.6%,14.3%
1.31,0.0%,2.9%,71.0%,63.3%,45.0%
2.17,0.0%,0.0%,75.0%,66.7%,66.7%
1.26,0.0%,1.4%,74.6%,62.3%,61.1%
0.83,0.0%,1.6%,79.7%,60.8%,46.2%
0.72,1.2%,2.5%,85.2%,58.0%,41.7%
1.43,0.0%,1.4%,81.1%,65.0%,85.7%
1.35,0.0%,0.0%,84.1%,58.0%,46.2%
1.36,0.0%,1.9%,77.4%,65.9%,50.0%
0.71,1.3%,0.0%,76.3%,47.5%,68.4%
1.14,1.4%,4.2%,69.0%,51.0%,54.5%
1.07,0.0%,3.3%,75.6%,61.8%,45.5%
1.24,0.0%,1.3%,77.5%,66.1%,66.7%
1.20,1.4%,0.0%,84.1%,60.3%,63.6%
0.82,1.4%,0.0%,76.1%,51.9%,58.8%
0.79,2.1%,3.2%,68.1%,70.3%,53.3%
0.78,0.0%,3.5%,63.2%,47.2%,52.4%
0.71,0.0%,3.5%,58.8%,56.0%,48.6%
0.68,1.4%,6.9%,62.5%,62.2%,44.4%
0.88,1.8%,2.6%,78.1%,64.0%,40.0%
2.22,0.0%,2.2%,71.1%,87.5%,61.5%
0.97,0.8%,0.8%,84.0%,60.0%,68.4%
1.81,2.0%,4.0%,80.0%,75.0%,50.0%
0.81,0.0%,1.0%,81.4%,54.4%,50.0%
0.67,0.0%,0.0%,80.0%,43.8%,50.0%
1.02,0.0%,1.8%,75.2%,57.6%,67.9%
1.44,0.0%,0.0%,76.1%,64.8%,70.6%
1.57,2.2%,0.0%,71.7%,63.6%,69.2%
0.85,1.3%,1.3%,76.3%,55.7%,42.1%
1.15,1.3%,0.0%,77.9%,65.0%,52.9%
1.07,1.8%,0.9%,77.9%,62.5%,48.0%
2.00,0.0%,4.5%,75.0%,72.7%,63.6%
1.13,0.0%,3.5%,77.2%,59.1%,30.8%
1.29,0.0%,2.6%,76.3%,69.0%,33.3%
0.97,1.1%,4.4%,62.6%,57.9%,61.8%
0.62,0.0%,0.0%,60.0%,43.3%,35.0%
1.38,1.5%,1.5%,75.4%,67.3%,68.8%
0.82,0.0%,2.8%,84.7%,52.5%,45.5%
1.18,0.0%,5.0%,71.3%,61.4%,52.2%
1.13,1.3%,2.6%,79.5%,59.7%,43.8%
1.19,0.0%,2.7%,71.6%,64.2%,52.4%
1.21,4.4%,0.0%,72.5%,63.6%,64.0%
1.28,1.5%,0.0%,71.6%,79.2%,63.2%
1.40,4.8%,0.0%,71.0%,65.9%,66.7%
1.15,0.0%,1.6%,66.7%,64.3%,38.1%
1.87,2.3%,2.3%,65.1%,67.9%,66.7%
0.73,0.0%,1.2%,73.3%,54.0%,60.9%
0.82,0.0%,6.2%,67.7%,52.3%,47.6%
1.13,1.6%,3.2%,71.0%,61.4%,55.6%
0.84,1.4%,2.9%,70.0%,57.1%,52.4%
0.93,0.0%,3.6%,67.5%,57.1%,44.4%
0.96,2.7%,1.4%,82.2%,55.0%,69.2%
1.05,0.0%,5.4%,64.9%,56.3%,53.8%
0.75,0.0%,0.0%,77.8%,50.0%,68.8%
1.00,0.0%,4.2%,73.7%,62.9%,40.0%
0.72,0.0%,0.0%,64.7%,48.5%,38.9%
1.45,1.8%,0.0%,76.8%,65.1%,61.5%
0.64,5.5%,5.5%,78.2%,53.5%,41.7%
1.04,1.4%,0.0%,75.3%,72.7%,33.3%
1.04,5.2%,1.7%,57.8%,74.6%,61.2%
0.81,0.0%,0.0%,78.8%,55.8%,57.1%
1.12,0.0%,2.4%,82.4%,55.7%,40.0%
1.24,2.7%,0.0%,75.3%,65.5%,61.1%
1.09,0.0%,3.5%,65.9%,67.9%,55.2%
1.57,0.0%,2.3%,72.1%,61.3%,58.3%
0.62,1.7%,0.0%,58.6%,50.0%,45.8%
