DR,A%,DF%,1stIn,1st%,2nd%
0.78,11.7%,3.9%,67.5%,75.0%,36.0%
1.41,11.1%,11.1%,55.6%,93.3%,33.3%
1.39,10.2%,4.1%,61.2%,80.0%,68.4%
0.94,7.1%,4.0%,57.9%,69.9%,47.2%
0.89,8.4%,1.1%,57.9%,67.3%,42.5%
0.66,8.6%,12.1%,56.9%,78.8%,28.0%
2.69,18.8%,0.0%,56.3%,88.9%,76.2%
0.77,9.6%,1.4%,57.5%,73.8%,48.4%
1.22,2.7%,4.1%,58.1%,79.1%,48.4%
1.28,14.9%,2.0%,65.3%,74.2%,48.6%
1.28,8.8%,7.4%,64.7%,79.5%,50.0%
1.82,35.2%,5.6%,66.7%,80.6%,61.1%
1.29,11.5%,1.6%,63.9%,71.8%,63.6%
1.54,10.0%,2.9%,64.3%,77.8%,64.0%
0.99,17.6%,0.0%,63.5%,66.7%,64.5%
1.19,10.8%,2.7%,56.8%,73.8%,53.1%
1.63,24.2%,3.2%,72.6%,86.7%,52.9%
1.31,20.9%,3.0%,64.2%,83.7%,50.0%
0.71,12.5%,3.6%,62.5%,68.6%,33.3%
1.20,20.2%,4.0%,61.6%,82.0%,55.3%
0.37,4.5%,6.8%,59.1%,73.1%,33.3%
0.53,6.5%,2.2%,65.2%,66.7%,25.0%
0.78,4.0%,2.0%,72.0%,66.7%,42.9%
1.58,16.3%,6.1%,67.3%,78.8%,50.0%
1.20,16.9%,5.1%,67.8%,80.0%,52.6%
0.99,7.8%,4.7%,53.1%,73.5%,50.0%
0.47,11.1%,6.7%,55.6%,52.0%,35.0%
0.95,9.7%,8.6%,46.2%,81.4%,38.0%
0.61,6.5%,3.9%,55.8%,58.1%,38.2%
1.42,15.2%,4.5%,65.2%,76.7%,56.5%
0.74,13.1%,9.8%,44.3%,77.8%,41.2%
0.93,4.7%,9.3%,47.7%,58.5%,48.9%
1.09,14.5%,12.0%,50.6%,78.6%,43.9%
1.01,12.4%,7.6%,47.6%,70.0%,40.0%
1.04,8.4%,2.1%,50.5%,75.0%,42.6%
0.86,11.2%,0.9%,56.0%,78.5%,49.0%
1.24,14.3%,6.3%,60.3%,81.6%,52.0%
0.57,4.2%,4.2%,58.3%,57.1%,60.0%
1.23,6.7%,2.7%,56.0%,76.2%,54.5%
0.92,7.8%,2.9%,56.3%,72.4%,55.6%
0.86,1.6%,1.6%,57.1%,61.1%,40.7%
0.74,5.8%,13.0%,43.5%,83.3%,43.6%
0.77,12.8%,2.6%,64.1%,68.0%,50.0%
1.25,14.7%,0.0%,66.2%,82.2%,60.9%
1.22,18.6%,7.1%,58.6%,78.0%,44.8%
1.20,13.5%,2.1%,46.9%,80.0%,52.9%
0.97,7.7%,5.1%,62.8%,77.6%,41.4%
1.25,19.1%,0.0%,59.6%,85.7%,65.8%
1.06,10.6%,8.2%,57.6%,81.6%,50.0%
1.00,24.3%,1.4%,70.3%,84.6%,45.5%
1.78,10.2%,6.1%,59.2%,86.2%,65.0%
1.18,17.2%,5.7%,65.5%,78.9%,56.7%
0.89,1.8%,4.5%,46.8%,53.8%,45.8%
0.79,6.4%,3.2%,52.1%,71.4%,35.6%
1.61,4.1%,6.1%,65.3%,62.5%,64.7%
0.80,2.9%,5.7%,55.7%,66.7%,41.9%
0.58,6.1%,6.1%,67.3%,63.6%,31.3%
2.16,17.9%,7.7%,74.4%,79.3%,50.0%
0.96,11.6%,5.3%,57.9%,72.7%,42.5%
1.54,13.3%,3.3%,56.7%,79.4%,65.4%
0.60,5.5%,7.3%,54.5%,70.0%,48.0%
1.10,21.9%,11.0%,52.1%,92.1%,42.9%
1.89,16.9%,0.0%,76.3%,84.4%,71.4%
2.14,37.2%,7.0%,67.4%,89.7%,71.4%
0.75,8.2%,1.8%,59.1%,72.3%,44.4%
0.37,13.8%,3.4%,55.2%,56.3%,46.2%
0.71,3.8%,0.0%,52.5%,71.4%,50.0%
0.78,9.1%,3.6%,54.5%,63.3%,36.0%
0.82,12.6%,3.6%,53.2%,69.5%,50.0%
0.48,16.9%,10.2%,59.3%,65.7%,33.3%
1.11,16.2%,3.8%,58.1%,77.0%,56.8%
1.27,17.7%,6.5%,59.7%,67.6%,64.0%
1.56,19.4%,4.2%,61.1%,84.1%,57.1%
1.26,15.5%,1.4%,57.7%,75.6%,53.3%
1.19,13.3%,5.3%,73.3%,80.0%,50.0%
0.85,6.6%,2.2%,50.5%,71.7%,40.0%
0.67,2.0%,5.9%,49.0%,72.0%,34.6%
1.23,6.3%,1.6%,60.9%,66.7%,40.0%
1.07,8.7%,4.3%,56.5%,76.9%,52.5%
0.61,6.2%,7.7%,58.5%,63.2%,37.0%
1.16,5.7%,9.8%,55.3%,79.4%,56.4%
0.78,12.3%,10.5%,57.9%,75.8%,50.0%
0.70,10.6%,6.1%,57.6%,65.8%,50.0%
1.39,1.7%,6.9%,69.0%,70.0%,55.6%
0.29,0.0%,13.3%,57.8%,42.3%,36.8%
1.06,6.3%,2.5%,67.1%,67.9%,57.7%
2.12,9.1%,6.8%,45.5%,85.0%,62.5%
