DR,A%,DF%,1stIn,1st%,2nd%
0.99,2.2%,2.2%,57.0%,67.9%,45.0%
1.54,9.8%,3.9%,52.9%,74.1%,70.8%
0.52,2.9%,1.4%,65.2%,62.2%,41.7%
0.79,5.3%,5.3%,52.6%,68.0%,51.1%
1.46,10.4%,1.5%,58.2%,71.8%,67.9%
0.75,4.3%,1.4%,65.2%,53.3%,45.8%
1.21,4.8%,1.2%,59.0%,73.5%,52.9%
1.36,3.3%,0.0%,61.7%,70.3%,47.8%
0.47,0.0%,4.5%,56.8%,48.0%,31.6%
0.69,7.2%,4.3%,56.5%,61.5%,43.3%
1.12,5.7%,4.5%,52.3%,73.9%,35.7%
4.03,16.7%,3.3%,50.0%,100.0%,60.0%
0.89,5.6%,0.0%,50.6%,62.2%,52.3%
1.18,6.6%,4.9%,63.9%,76.9%,36.4%
0.89,3.3%,1.1%,60.4%,63.6%,52.8%
1.29,1.5%,3.1%,55.4%,69.4%,58.6%
1.92,3.0%,0.0%,54.5%,72.2%,73.3%
0.82,0.0%,1.6%,67.2%,53.7%,45.0%
1.34,3.4%,5.2%,56.9%,66.7%,56.0%
1.64,3.9%,3.9%,62.7%,81.3%,57.9%
1.40,0.0%,2.0%,52.9%,63.0%,54.2%
0.92,2.3%,3.4%,47.1%,68.3%,52.2%
0.70,3.4%,0.0%,62.1%,66.7%,50.0%
0.93,3.6%,3.6%,57.7%,73.4%,44.7%
1.08,4.1%,2.0%,66.3%,73.8%,42.4%
0.58,0.0%,4.1%,55.4%,51.2%,48.5%
1.04,3.3%,4.3%,52.2%,62.5%,47.7%
1.27,2.9%,1.4%,56.5%,64.1%,63.3%
0.99,3.6%,2.7%,65.5%,70.8%,44.7%
1.64,2.2%,0.0%,68.9%,74.2%,42.9%
0.70,0.0%,6.6%,55.7%,52.9%,44.4%
0.69,9.0%,1.5%,55.2%,73.0%,56.7%
1.35,5.6%,2.8%,52.8%,71.1%,50.0%
0.62,0.0%,0.0%,64.8%,37.1%,42.1%
1.61,1.9%,1.9%,75.9%,58.5%,84.6%
1.27,3.2%,1.6%,45.2%,64.3%,55.9%
1.56,5.3%,0.0%,71.9%,68.3%,50.0%
0.90,6.3%,6.3%,49.2%,71.0%,40.6%
1.29,11.9%,0.0%,73.1%,71.4%,50.0%
0.91,2.2%,4.5%,60.7%,74.1%,54.3%
1.54,1.7%,1.7%,60.3%,71.4%,69.6%
1.53,3.8%,5.7%,50.9%,88.9%,46.2%
1.26,2.8%,2.8%,56.3%,67.5%,45.2%
0.81,2.1%,1.1%,54.7%,61.5%,44.2%
1.60,3.4%,3.4%,54.2%,65.6%,59.3%
1.42,3.8%,3.8%,37.7%,70.0%,60.6%
0.91,1.8%,5.4%,55.4%,61.3%,68.0%
1.49,8.5%,6.4%,46.8%,72.7%,60.0%
0.99,5.3%,4.3%,53.2%,62.0%,52.3%
2.04,2.8%,0.0%,52.8%,68.4%,64.7%
0.99,1.9%,4.8%,61.9%,63.1%,45.0%
1.40,4.3%,2.9%,69.6%,72.9%,47.6%
1.58,2.3%,4.5%,54.5%,70.8%,50.0%
1.24,6.5%,8.1%,53.2%,69.7%,55.2%
0.82,0.0%,1.4%,77.1%,63.0%,43.8%
1.17,3.6%,2.4%,61.4%,80.4%,53.1%
1.06,0.0%,1.1%,66.3%,66.1%,43.3%
1.35,0.0%,1.7%,57.6%,58.8%,56.0%
1.56,0.0%,2.0%,49.0%,79.2%,60.0%
0.91,1.6%,6.3%,44.4%,60.7%,54.3%
1.10,3.6%,2.4%,45.2%,65.8%,54.3%
1.39,0.0%,3.4%,61.0%,72.2%,47.8%
0.74,2.1%,4.3%,50.0%,66.0%,42.6%
0.70,0.0%,4.0%,66.0%,60.6%,11.8%
1.34,0.0%,2.9%,47.8%,69.7%,66.7%
1.43,2.8%,2.8%,51.4%,75.7%,68.6%
0.72,11.1%,2.8%,52.8%,81.6%,41.2%
1.23,25.8%,3.2%,51.6%,93.8%,46.7%
1.18,20.0%,4.6%,55.4%,86.1%,51.7%
1.62,8.0%,2.0%,28.0%,78.6%,58.3%
1.63,5.0%,5.0%,35.0%,85.7%,53.8%
1.70,10.9%,2.2%,47.8%,86.4%,62.5%
0.72,5.5%,0.8%,52.3%,71.6%,44.3%
0.94,6.4%,5.1%,60.3%,68.1%,38.7%
0.94,6.5%,1.9%,59.3%,71.9%,56.8%
1.01,4.5%,3.4%,56.8%,74.0%,44.7%
1.67,3.2%,8.1%,58.1%,75.0%,61.5%
2.56,14.0%,2.3%,37.2%,87.5%,81.5%
1.05,3.8%,6.3%,50.6%,75.0%,53.8%
0.74,5.2%,3.1%,52.6%,60.8%,50.0%
0.87,1.3%,1.3%,55.0%,70.5%,44.4%
1.72,16.7%,5.0%,58.3%,91.4%,64.0%
0.38,3.4%,5.2%,51.7%,73.3%,39.3%
1.43,6.9%,3.4%,48.3%,71.4%,60.0%
0.67,3.1%,6.2%,56.9%,51.4%,50.0%
1.99,4.4%,4.4%,51.1%,69.6%,72.7%
0.80,1.2%,3.5%,64.7%,61.8%,53.3%
0.98,0.0%,2.3%,61.4%,64.8%,50.0%
1.53,3.3%,3.3%,50.0%,76.7%,56.7%
1.70,2.0%,0.0%,42.9%,81.0%,60.7%
0.88,3.4%,6.8%,48.9%,62.8%,55.6%
1.01,5.0%,5.0%,50.0%,78.0%,38.0%
0.70,2.0%,5.9%,51.0%,61.5%,44.0%
1.42,15.8%,7.0%,50.9%,72.4%,53.6%
1.03,7.2%,3.6%,48.6%,75.9%,52.6%
1.49,10.0%,5.0%,48.3%,79.3%,51.6%
1.45,1.9%,0.0%,51.9%,64.3%,61.5%
1.98,2.1%,2.1%,52.1%,80.0%,52.2%
