DR,A%,DF%,1stIn,1st%,2nd%
0.52,2.0%,9.8%,62.7%,53.1%,26.3%
1.51,0.0%,4.9%,44.3%,77.8%,70.6%
2.11,7.7%,2.6%,59.0%,91.3%,50.0%
0.76,2.8%,5.6%,52.8%,57.9%,47.1%
1.14,3.1%,4.1%,50.5%,71.4%,58.3%
2.10,6.1%,4.1%,63.3%,83.9%,66.7%
0.82,1.3%,7.8%,57.1%,63.6%,54.5%
0.98,6.3%,4.0%,53.2%,59.7%,54.2%
1.10,6.6%,4.8%,57.2%,72.6%,52.1%
1.10,5.1%,7.7%,69.2%,72.8%,41.7%
0.66,7.2%,4.8%,56.6%,68.1%,44.4%
0.94,8.8%,2.5%,63.7%,60.8%,41.4%
0.64,6.8%,3.4%,66.1%,70.5%,52.5%
0.66,1.6%,9.4%,65.6%,61.9%,36.4%
1.32,6.9%,2.8%,61.1%,70.5%,75.0%
1.11,10.2%,2.0%,58.2%,82.5%,61.0%
1.60,3.9%,5.2%,59.7%,80.4%,64.5%
1.06,3.2%,5.3%,55.3%,63.5%,52.4%
0.96,3.0%,6.1%,68.2%,80.0%,61.9%
1.80,2.0%,0.0%,58.0%,89.7%,61.9%
1.16,6.7%,4.0%,50.7%,81.6%,56.8%
0.88,2.0%,10.2%,53.1%,73.1%,43.5%
1.32,9.9%,8.5%,62.0%,77.3%,48.1%
1.43,8.5%,1.7%,64.4%,81.6%,66.7%
0.67,1.0%,2.9%,62.5%,60.0%,48.7%
1.01,4.4%,3.0%,63.0%,63.5%,44.0%
1.29,0.0%,3.2%,56.5%,74.3%,51.9%
1.02,8.9%,2.0%,58.4%,64.4%,59.5%
0.80,3.8%,3.8%,48.1%,76.0%,48.1%
1.42,3.2%,7.9%,63.5%,77.5%,52.2%
0.49,2.0%,8.0%,52.0%,61.5%,29.2%
1.38,5.4%,3.6%,46.4%,76.9%,56.7%
1.42,5.2%,3.4%,62.1%,83.3%,50.0%
1.30,8.8%,7.5%,56.3%,77.8%,54.3%
1.36,6.5%,4.3%,67.4%,79.0%,50.0%
1.24,3.4%,5.6%,62.9%,73.2%,66.7%
1.03,13.8%,6.9%,51.7%,71.1%,52.4%
1.16,5.6%,8.3%,52.8%,76.3%,44.1%
0.81,7.5%,8.8%,56.3%,86.7%,45.7%
2.98,10.3%,2.6%,69.2%,88.9%,66.7%
0.64,9.1%,3.0%,51.5%,64.7%,34.4%
1.21,8.6%,5.7%,55.2%,67.2%,55.3%
1.05,7.3%,4.9%,62.6%,76.6%,47.8%
1.46,10.0%,1.1%,71.1%,71.9%,61.5%
1.88,14.7%,2.9%,58.8%,72.5%,57.1%
2.03,15.9%,4.3%,60.9%,88.1%,63.0%
2.39,22.0%,4.9%,61.0%,88.0%,62.5%
2.18,13.3%,6.7%,55.6%,84.0%,60.0%
1.51,12.7%,1.3%,62.0%,75.5%,73.3%
0.89,16.7%,4.5%,63.6%,73.8%,37.5%
1.13,9.6%,4.8%,62.7%,84.6%,35.5%
1.12,2.7%,5.4%,74.3%,67.3%,42.1%
1.67,14.8%,6.6%,62.3%,84.2%,65.2%
0.93,4.3%,2.9%,52.2%,58.3%,54.5%
1.16,11.8%,8.2%,55.3%,80.9%,50.0%
1.35,6.3%,6.3%,57.1%,83.3%,63.0%
1.56,12.2%,8.2%,67.3%,78.8%,50.0%
1.05,9.5%,5.4%,45.9%,73.5%,52.5%
1.28,2.7%,5.4%,59.5%,65.9%,50.0%
1.38,12.7%,8.5%,56.3%,75.0%,54.8%
0.72,1.0%,6.1%,55.6%,70.9%,45.5%
1.13,8.6%,5.4%,62.4%,82.8%,37.1%
0.69,1.6%,3.1%,54.7%,57.1%,41.4%
1.60,4.0%,0.0%,58.0%,65.5%,66.7%
1.61,0.0%,3.8%,57.7%,76.7%,68.2%
1.46,1.9%,7.4%,55.6%,83.3%,58.3%
1.43,8.2%,4.9%,55.7%,88.2%,44.4%
1.31,7.3%,3.6%,60.0%,78.8%,40.9%
2.75,13.6%,6.8%,47.7%,95.2%,73.9%
1.33,15.8%,5.3%,57.9%,84.8%,45.8%
1.46,4.6%,0.0%,53.8%,82.9%,66.7%
1.03,4.2%,5.2%,61.5%,72.9%,59.5%
1.71,2.3%,4.7%,44.2%,84.2%,58.3%
1.79,14.3%,4.1%,44.9%,86.4%,48.1%
1.09,1.0%,5.0%,55.4%,67.9%,55.6%
0.73,2.5%,9.9%,48.1%,69.2%,57.1%
1.05,3.3%,6.5%,55.4%,76.5%,43.9%
1.17,11.3%,8.5%,46.5%,75.8%,52.6%
1.45,10.9%,7.3%,54.5%,73.3%,68.0%
1.25,6.1%,4.5%,48.5%,75.0%,55.9%
1.58,6.3%,8.3%,52.1%,76.0%,56.5%
5.73,38.9%,5.6%,61.1%,100.0%,71.4%
1.26,13.6%,3.0%,60.6%,80.0%,53.8%
1.03,6.3%,0.9%,61.3%,73.5%,51.2%
0.71,7.8%,7.8%,60.0%,70.4%,33.3%
0.68,10.2%,12.2%,53.1%,73.1%,39.1%
0.78,4.9%,7.8%,51.0%,67.3%,52.0%
0.88,7.6%,5.1%,46.8%,70.3%,40.5%
1.33,16.7%,9.7%,48.6%,85.7%,37.8%
1.24,3.4%,3.4%,45.8%,59.3%,56.3%
1.31,11.0%,5.0%,49.0%,81.6%,58.8%
1.50,2.1%,2.1%,53.2%,76.0%,54.5%
1.55,9.6%,13.5%,34.6%,88.9%,47.1%
1.21,14.1%,8.2%,48.2%,82.9%,50.0%
1.16,12.1%,9.9%,54.9%,78.0%,51.2%
2.78,3.0%,6.1%,57.6%,84.2%,64.3%
1.31,6.7%,5.0%,48.3%,58.6%,51.6%
0.91,11.8%,19.7%,46.1%,80.0%,43.9%
0.53,8.2%,12.3%,56.2%,61.0%,37.5%
0.83,7.8%,11.8%,54.9%,53.6%,34.8%
0.53,1.6%,4.9%,52.5%,56.3%,34.5%
0.79,7.9%,4.8%,54.0%,67.6%,41.4%
0.87,3.6%,4.8%,67.9%,63.2%,37.0%
