DR,A%,DF%,1stIn,1st%,2nd%
1.92,8.7%,8.7%,50.0%,87.0%,60.9%
1.53,20.4%,8.2%,44.9%,90.9%,63.0%
0.57,9.6%,11.5%,42.3%,50.0%,46.7%
1.15,13.5%,7.9%,50.6%,80.0%,47.7%
0.74,8.3%,7.1%,63.1%,66.0%,32.3%
1.34,21.4%,2.9%,62.9%,84.1%,50.0%
0.81,12.0%,3.7%,57.4%,77.4%,50.0%
1.40,6.6%,0.0%,62.3%,71.1%,60.9%
0.78,5.6%,3.5%,57.3%,67.1%,45.9%
0.86,12.3%,2.8%,59.4%,77.8%,60.5%
0.71,9.4%,1.6%,50.0%,71.9%,34.4%
1.23,17.9%,5.4%,50.0%,71.4%,64.3%
1.26,10.0%,3.3%,63.3%,86.0%,42.4%
3.02,16.2%,2.7%,56.8%,90.5%,68.8%
0.86,6.5%,7.1%,53.0%,75.3%,55.7%
0.95,15.0%,5.2%,52.3%,78.8%,42.5%
1.49,19.3%,1.8%,63.2%,83.3%,52.4%
1.19,17.6%,8.8%,60.3%,85.4%,55.6%
0.96,18.8%,6.3%,56.3%,91.7%,50.0%
1.82,16.0%,2.0%,68.0%,94.1%,56.3%
0.79,8.6%,2.9%,61.9%,84.6%,45.0%
0.59,12.3%,1.8%,54.4%,74.2%,50.0%
1.31,19.5%,2.6%,57.1%,72.7%,57.6%
1.71,19.6%,3.6%,60.7%,88.2%,59.1%
0.88,13.8%,3.4%,59.5%,71.0%,44.7%
0.58,9.1%,3.9%,64.9%,76.0%,33.3%
1.03,11.3%,4.1%,53.6%,75.0%,46.7%
1.24,17.6%,7.1%,50.6%,81.4%,61.9%
1.52,17.4%,0.0%,52.2%,86.1%,57.6%
1.27,15.5%,5.8%,57.3%,81.4%,56.8%
1.33,15.8%,3.9%,50.0%,86.8%,57.9%
1.25,19.1%,8.5%,58.5%,80.0%,51.3%
0.74,16.2%,8.1%,49.5%,79.6%,42.0%
1.13,16.9%,6.5%,50.6%,76.9%,60.5%
1.51,17.1%,5.7%,67.1%,80.9%,65.2%
1.55,12.3%,7.7%,64.6%,88.1%,43.5%
1.44,13.7%,9.8%,45.1%,95.7%,53.6%
2.62,22.6%,0.0%,56.6%,90.0%,78.3%
1.60,12.2%,12.2%,44.9%,86.4%,55.6%
2.03,16.7%,2.4%,52.4%,81.8%,70.0%
1.00,13.1%,2.4%,48.8%,78.0%,62.8%
0.82,11.9%,3.4%,57.6%,76.5%,48.0%
1.83,30.8%,1.9%,73.1%,84.2%,57.1%
1.58,29.1%,5.5%,60.0%,93.9%,40.9%
0.60,9.8%,2.0%,54.9%,50.0%,47.8%
0.70,13.2%,2.9%,70.6%,77.1%,30.0%
1.86,15.2%,1.3%,60.8%,77.1%,77.4%
0.84,7.5%,0.9%,56.6%,75.0%,43.5%
1.04,5.9%,2.4%,55.3%,68.1%,44.7%
0.81,4.2%,2.1%,66.7%,71.9%,50.0%
1.00,7.8%,3.9%,54.5%,66.7%,57.1%
0.90,3.9%,2.6%,57.1%,68.2%,54.5%
2.28,4.9%,0.0%,73.2%,80.0%,72.7%
0.68,13.5%,4.5%,62.9%,64.3%,42.4%
1.20,18.2%,7.6%,51.5%,76.5%,56.3%
