DR,A%,DF%,1stIn,1st%,2nd%
1.70,7.5%,0.0%,60.4%,84.4%,52.4%
0.99,3.5%,3.5%,59.3%,68.6%,48.6%
1.13,3.8%,5.1%,50.0%,64.1%,56.4%
0.66,0.0%,4.3%,53.2%,68.0%,31.8%
0.84,4.8%,11.3%,43.5%,63.0%,45.7%
0.79,8.2%,4.4%,59.5%,59.6%,48.4%
0.91,4.8%,4.0%,60.8%,77.6%,38.8%
0.62,7.7%,7.7%,30.8%,50.0%,44.4%
0.45,4.3%,8.5%,61.7%,55.2%,16.7%
0.64,5.8%,1.9%,57.7%,43.3%,50.0%
0.84,6.0%,4.8%,65.1%,75.9%,55.2%
0.96,7.7%,3.4%,62.4%,74.0%,50.0%
0.80,2.7%,0.0%,60.8%,55.6%,58.6%
0.92,3.3%,1.1%,70.0%,68.3%,59.3%
0.89,5.0%,1.0%,72.3%,60.3%,50.0%
1.22,5.4%,2.7%,55.4%,70.7%,57.6%
1.13,8.2%,8.2%,54.1%,73.6%,42.2%
1.39,1.8%,10.9%,56.4%,74.2%,54.2%
0.56,0.0%,3.3%,66.7%,50.0%,75.0%
0.55,0.0%,1.5%,64.6%,57.1%,39.1%
0.93,5.5%,2.4%,52.8%,71.6%,41.7%
1.47,16.7%,3.0%,56.1%,86.5%,65.5%
0.83,7.4%,6.3%,45.3%,72.1%,51.9%
1.34,8.9%,5.0%,63.4%,79.7%,56.8%
1.65,6.3%,0.0%,62.5%,75.0%,58.3%
0.89,6.6%,4.9%,54.1%,63.6%,42.9%
0.86,9.6%,7.0%,39.1%,80.0%,54.3%
1.84,12.2%,6.1%,55.1%,77.8%,54.5%
1.07,8.0%,10.2%,45.5%,65.0%,47.9%
0.50,2.3%,15.9%,52.3%,73.9%,28.6%
0.80,3.8%,3.8%,59.5%,65.4%,34.0%
0.73,9.4%,3.5%,49.4%,76.2%,39.5%
1.10,3.9%,1.3%,61.8%,78.7%,55.2%
1.45,1.6%,3.3%,52.5%,75.0%,62.1%
1.02,2.2%,2.2%,62.4%,69.0%,51.4%
1.23,4.2%,2.8%,61.1%,77.3%,53.6%
