DR,A%,DF%,1stIn,1st%,2nd%
1.40,9.5%,4.2%,64.2%,75.4%,64.7%
0.87,7.1%,5.4%,62.5%,57.1%,42.9%
1.95,8.5%,2.1%,70.2%,81.8%,64.3%
0.64,2.4%,2.4%,58.5%,60.4%,41.2%
0.86,3.7%,1.2%,51.9%,61.9%,48.7%
0.80,9.2%,9.2%,56.3%,67.3%,39.5%
0.60,4.8%,3.2%,64.5%,65.0%,40.9%
0.72,9.8%,9.8%,57.4%,68.6%,23.1%
1.24,5.6%,5.6%,54.9%,53.8%,62.5%
1.38,8.3%,5.0%,51.7%,83.9%,58.6%
2.51,2.4%,9.8%,53.7%,86.4%,73.7%
0.67,3.9%,3.9%,64.7%,57.6%,50.0%
0.84,3.6%,7.2%,56.6%,74.5%,50.0%
1.63,4.1%,10.2%,61.2%,76.7%,57.9%
0.96,6.9%,3.9%,63.7%,69.2%,59.5%
1.25,8.6%,5.2%,65.5%,71.1%,60.0%
0.55,3.4%,0.0%,67.2%,59.0%,36.8%
1.53,6.0%,2.4%,66.7%,80.4%,60.7%
0.84,1.3%,1.3%,51.9%,67.5%,59.5%
0.95,3.6%,3.6%,55.4%,71.7%,45.9%
1.47,6.4%,8.5%,57.4%,85.2%,40.0%
0.69,0.0%,5.4%,66.1%,56.8%,42.1%
1.04,9.1%,2.6%,67.5%,63.5%,56.0%
0.92,3.1%,8.2%,51.5%,66.0%,44.7%
0.63,1.8%,7.0%,47.4%,48.1%,50.0%
0.65,10.6%,5.9%,55.3%,72.3%,50.0%
1.34,0.0%,5.1%,62.7%,62.2%,45.5%
0.87,3.5%,3.5%,54.4%,67.7%,34.6%
2.00,7.5%,5.0%,62.5%,72.0%,73.3%
0.81,1.8%,0.0%,49.1%,64.3%,51.7%
1.58,14.9%,4.5%,61.2%,73.2%,57.7%
1.28,7.7%,0.0%,65.4%,70.6%,55.6%
0.46,5.1%,10.2%,47.5%,57.1%,41.9%
1.16,2.1%,6.3%,54.7%,61.5%,65.1%
0.86,9.4%,5.7%,71.7%,81.6%,33.3%
1.20,3.0%,4.5%,56.7%,78.9%,48.3%
0.78,5.4%,2.7%,68.9%,70.6%,60.9%
0.89,5.2%,2.6%,62.3%,56.3%,55.2%
1.71,6.3%,4.2%,64.6%,77.4%,58.8%
3.04,7.7%,0.0%,66.7%,84.6%,76.9%
0.93,6.1%,2.0%,57.1%,71.4%,47.6%
1.69,9.8%,9.8%,54.9%,96.4%,56.5%
0.93,3.1%,3.1%,67.3%,50.0%,53.1%
0.48,3.8%,9.6%,61.5%,68.8%,30.0%
0.83,8.0%,3.6%,69.6%,71.8%,52.9%
0.65,3.9%,5.9%,58.8%,53.3%,38.1%
1.08,7.7%,2.6%,59.0%,73.9%,53.1%
0.84,4.6%,5.7%,59.8%,63.5%,45.7%
0.27,0.0%,0.0%,80.3%,49.0%,58.3%
0.91,8.9%,2.2%,56.7%,78.4%,51.3%
0.55,1.8%,5.4%,51.8%,58.6%,51.9%
0.68,1.8%,5.3%,55.8%,58.7%,54.0%
1.23,11.3%,2.8%,59.2%,78.6%,51.7%
1.36,6.2%,2.5%,49.4%,75.0%,56.1%
1.46,1.9%,3.8%,64.2%,73.5%,47.4%
1.26,9.5%,7.9%,58.7%,75.7%,50.0%
0.55,5.4%,4.3%,57.6%,56.6%,51.3%
0.80,4.6%,5.5%,59.6%,69.2%,38.6%
1.09,16.3%,2.9%,60.6%,71.4%,53.7%
1.62,0.0%,0.0%,64.7%,72.7%,61.1%
1.33,7.9%,5.3%,63.2%,70.8%,50.0%
1.23,7.1%,7.1%,61.4%,86.0%,55.6%
1.33,8.9%,3.8%,63.3%,80.0%,51.7%
1.12,8.9%,0.0%,66.7%,76.7%,50.0%
1.02,3.8%,4.5%,50.8%,65.7%,46.2%
0.67,4.7%,5.8%,40.7%,80.0%,47.1%
0.92,3.6%,4.8%,51.2%,62.8%,43.9%
0.69,7.8%,2.0%,52.9%,66.7%,50.0%
0.83,0.0%,3.2%,56.4%,49.1%,65.9%
1.45,0.0%,0.0%,66.0%,72.7%,47.1%
1.85,4.4%,4.4%,44.4%,80.0%,64.0%
1.18,1.1%,0.0%,57.3%,72.5%,57.9%
1.77,8.7%,0.0%,73.9%,82.4%,58.3%
