DR,A%,DF%,1stIn,1st%,2nd%
1.13,8.2%,5.2%,63.9%,75.8%,40.0%
1.03,1.5%,1.5%,60.3%,70.7%,51.9%
1.14,9.1%,2.6%,68.8%,75.5%,45.8%
1.24,6.5%,0.0%,67.4%,67.7%,50.0%
0.78,8.6%,4.3%,60.2%,69.6%,48.6%
0.79,3.5%,3.5%,52.6%,70.0%,40.7%
0.81,5.3%,3.2%,57.4%,68.5%,40.0%
0.68,2.0%,11.8%,52.9%,59.3%,29.2%
1.04,1.2%,3.7%,45.1%,64.9%,48.9%
0.94,2.5%,3.8%,48.8%,64.1%,51.2%
0.83,1.5%,3.1%,60.0%,71.8%,38.5%
1.11,3.8%,1.5%,67.4%,61.8%,51.2%
2.48,0.0%,0.0%,59.3%,93.8%,54.5%
2.50,17.5%,5.0%,60.0%,83.3%,62.5%
0.54,2.4%,2.4%,66.7%,64.3%,28.6%
0.76,2.3%,3.5%,46.5%,70.0%,43.5%
0.84,4.0%,12.0%,52.0%,61.5%,50.0%
0.97,4.4%,1.8%,67.3%,64.5%,48.6%
1.57,5.9%,5.9%,51.0%,80.8%,56.0%
1.54,10.6%,8.5%,63.8%,70.0%,52.9%
1.37,8.6%,2.9%,61.4%,76.7%,44.4%
0.84,6.9%,4.2%,59.7%,55.8%,44.8%
1.68,10.2%,4.1%,59.2%,86.2%,55.0%
2.65,9.3%,2.3%,48.8%,81.0%,86.4%
0.83,4.5%,1.5%,62.1%,65.9%,28.0%
1.21,5.7%,8.0%,61.4%,64.8%,55.9%
1.39,6.2%,2.5%,67.9%,78.2%,42.3%
0.98,10.3%,3.1%,59.8%,65.5%,59.0%
1.20,8.2%,3.1%,67.0%,70.8%,46.9%
1.46,3.6%,2.4%,60.2%,76.0%,69.7%
1.24,5.7%,2.9%,57.1%,75.0%,53.3%
1.10,2.1%,6.3%,54.2%,63.5%,50.0%
0.93,5.3%,8.0%,48.0%,61.1%,56.4%
1.89,13.9%,11.1%,33.3%,75.0%,66.7%
0.64,3.7%,5.6%,51.9%,57.1%,50.0%
1.07,13.3%,6.7%,58.9%,67.9%,45.9%
0.67,5.8%,7.0%,50.0%,62.8%,44.2%
1.33,0.0%,2.9%,65.2%,66.7%,66.7%
1.04,5.0%,3.8%,56.3%,62.2%,45.7%
1.22,3.8%,2.6%,57.7%,75.6%,45.5%
1.00,6.2%,5.3%,58.4%,68.2%,57.4%
1.25,8.1%,8.1%,50.0%,75.7%,51.4%
1.03,8.7%,1.0%,62.5%,83.1%,48.7%
1.23,19.8%,5.8%,64.0%,85.5%,48.4%
0.92,0.0%,9.5%,54.0%,55.9%,48.3%
1.87,6.7%,2.2%,46.7%,76.2%,66.7%
0.75,18.5%,0.0%,56.9%,70.3%,35.7%
1.02,1.9%,5.7%,45.3%,72.9%,43.1%
0.80,2.4%,4.8%,64.3%,63.0%,46.7%
1.16,10.0%,6.3%,62.5%,76.0%,33.3%
2.94,18.6%,4.7%,53.5%,87.0%,80.0%
0.86,7.5%,3.8%,50.9%,74.1%,51.9%
1.33,18.5%,3.7%,61.7%,84.0%,35.5%
