DR,A%,DF%,1stIn,1st%,2nd%
0.98,2.1%,4.2%,70.5%,76.1%,28.6%
1.48,14.3%,2.9%,70.0%,75.5%,61.9%
2.11,10.4%,0.0%,66.7%,84.4%,81.3%
1.37,5.3%,3.5%,63.2%,69.4%,57.1%
1.59,11.8%,1.5%,67.6%,76.1%,63.6%
1.12,2.3%,0.8%,72.2%,70.8%,51.4%
0.74,4.2%,1.4%,81.9%,62.7%,38.5%
3.13,5.0%,0.0%,80.0%,87.5%,62.5%
1.17,5.9%,5.9%,69.6%,74.6%,54.8%
1.66,8.6%,0.0%,69.0%,62.5%,94.4%
1.04,6.2%,9.3%,67.0%,70.8%,40.6%
0.73,4.4%,0.0%,66.7%,53.3%,53.3%
1.18,5.1%,0.0%,66.7%,61.5%,61.5%
2.57,7.5%,5.0%,67.5%,85.2%,69.2%
0.73,6.8%,11.9%,67.8%,57.5%,42.1%
1.29,2.2%,7.9%,60.7%,64.8%,54.3%
1.04,9.9%,6.9%,58.4%,72.9%,40.5%
0.93,3.0%,9.0%,64.0%,64.1%,36.1%
1.22,2.6%,3.9%,64.5%,75.5%,51.9%
4.82,11.1%,0.0%,83.3%,86.7%,100.0%
1.32,3.3%,4.9%,55.7%,73.5%,55.6%
0.57,6.8%,5.4%,59.5%,54.5%,30.0%
1.22,15.8%,1.8%,60.5%,76.8%,55.6%
0.43,5.2%,1.7%,63.8%,48.6%,38.1%
1.52,10.3%,0.0%,69.0%,77.5%,55.6%
1.20,4.3%,8.7%,59.8%,76.4%,48.6%
1.41,7.2%,1.4%,66.7%,69.6%,73.9%
1.56,12.7%,1.8%,63.6%,80.0%,70.0%
0.82,10.7%,7.1%,65.5%,81.8%,27.6%
0.97,3.8%,3.8%,66.3%,62.3%,37.0%
1.19,10.4%,7.5%,55.2%,75.7%,50.0%
1.45,11.7%,5.0%,66.7%,75.0%,40.0%
0.56,3.4%,10.2%,49.2%,62.1%,50.0%
1.65,5.5%,3.6%,54.5%,80.0%,60.0%
0.95,9.3%,8.0%,73.3%,81.8%,25.0%
2.01,12.1%,0.0%,74.1%,86.0%,60.0%
1.16,4.4%,3.3%,61.5%,66.1%,62.9%
1.46,4.1%,4.1%,63.0%,69.6%,70.4%
0.64,7.0%,3.5%,56.1%,71.9%,44.0%
0.98,1.2%,4.7%,62.8%,70.4%,40.6%
1.11,5.4%,2.3%,67.4%,70.1%,52.4%
0.62,3.6%,5.4%,62.5%,68.6%,42.9%
1.33,10.8%,0.0%,64.6%,69.0%,60.9%
0.74,5.1%,6.3%,74.7%,72.9%,40.0%
1.47,3.3%,9.8%,54.1%,90.9%,42.9%
1.01,1.6%,4.8%,62.7%,63.3%,53.2%
1.02,0.0%,5.5%,67.9%,68.9%,37.1%
0.67,0.0%,11.3%,71.7%,57.9%,13.3%
0.54,1.9%,11.1%,61.1%,57.6%,23.8%
0.74,0.0%,6.5%,60.9%,53.6%,55.6%
1.23,3.3%,6.5%,69.6%,62.5%,39.3%
1.12,0.0%,6.6%,60.5%,69.6%,33.3%
0.92,1.1%,4.3%,69.1%,64.6%,51.7%
0.49,8.7%,8.7%,69.6%,66.7%,52.4%
1.33,11.6%,4.3%,73.9%,74.5%,50.0%
1.71,2.0%,0.0%,72.0%,69.4%,78.6%
1.35,11.4%,9.1%,60.2%,69.8%,60.0%
0.61,3.8%,1.9%,67.3%,57.1%,29.4%
1.39,2.1%,4.3%,57.4%,66.7%,50.0%
0.77,3.3%,5.0%,63.3%,63.2%,45.5%
0.86,8.4%,2.5%,64.7%,57.1%,50.0%
1.05,2.1%,5.6%,69.7%,67.6%,42.4%
0.74,7.5%,1.5%,56.7%,63.2%,58.6%
3.94,36.4%,2.3%,72.7%,100.0%,66.7%
0.83,2.9%,5.8%,68.1%,70.2%,45.5%
1.45,1.7%,0.0%,78.3%,85.1%,61.5%
0.98,7.5%,9.0%,71.6%,75.0%,31.6%
1.92,4.0%,2.0%,68.0%,88.2%,56.3%
1.28,13.1%,4.9%,65.6%,77.5%,42.9%
0.75,8.5%,3.4%,71.2%,64.3%,29.4%
1.96,12.8%,10.6%,63.8%,86.7%,52.9%
1.18,8.1%,1.4%,66.2%,77.6%,56.0%
2.55,11.1%,8.3%,63.9%,95.7%,38.5%
1.24,7.0%,6.0%,66.0%,78.8%,47.1%
2.15,7.1%,4.8%,61.9%,76.9%,68.8%
1.04,8.9%,5.4%,64.3%,77.8%,50.0%
1.12,8.3%,0.0%,91.7%,72.7%,0.0%
1.50,6.0%,2.0%,70.0%,71.4%,73.3%
0.93,2.6%,6.5%,63.6%,51.0%,53.6%
1.79,10.9%,6.5%,63.0%,82.8%,47.1%
1.10,10.7%,4.0%,72.0%,72.2%,57.1%
0.94,1.7%,7.8%,70.7%,64.6%,38.2%
1.01,6.9%,6.9%,54.5%,67.3%,52.2%
0.89,5.9%,13.2%,60.3%,75.6%,29.6%
1.24,6.5%,7.3%,60.5%,70.7%,59.2%
0.74,4.0%,5.6%,61.1%,72.7%,46.9%
1.14,9.5%,4.2%,65.3%,74.2%,57.6%
1.66,10.8%,0.0%,67.6%,80.0%,58.3%
1.36,10.9%,3.6%,58.2%,75.0%,56.5%
0.00,0.0%,0.0%,60.0%,33.3%,0.0%
1.28,10.0%,6.7%,50.0%,80.0%,40.0%
0.96,1.4%,4.2%,65.3%,68.1%,56.0%
0.92,1.6%,2.4%,65.0%,76.3%,44.2%
1.31,11.7%,1.7%,60.0%,77.8%,58.3%
0.78,5.2%,1.3%,66.2%,60.8%,61.5%
0.96,6.0%,5.0%,61.0%,73.8%,56.4%
1.03,7.3%,1.8%,49.1%,81.5%,57.1%
1.18,17.3%,2.0%,68.4%,73.1%,51.6%
1.16,11.4%,4.5%,59.1%,76.9%,61.1%
1.69,12.0%,4.0%,56.0%,92.9%,50.0%
1.08,9.0%,4.0%,61.0%,75.4%,41.0%
2.97,4.3%,0.0%,70.2%,87.9%,78.6%
0.90,14.4%,2.2%,63.3%,75.4%,54.5%
1.40,11.9%,6.0%,62.7%,76.2%,48.0%
2.19,14.0%,0.0%,64.0%,87.5%,72.2%
1.45,10.3%,5.2%,60.3%,77.1%,52.2%
1.54,14.3%,3.6%,69.6%,79.5%,52.9%
1.22,10.1%,2.5%,69.6%,80.0%,54.2%
1.17,8.1%,1.0%,65.7%,72.3%,47.1%
1.28,15.1%,1.4%,72.6%,69.8%,60.0%
1.28,8.6%,1.7%,67.2%,76.9%,63.2%
3.40,8.8%,2.9%,70.6%,91.7%,60.0%
1.41,5.3%,3.5%,59.6%,70.6%,65.2%
0.57,4.0%,2.7%,65.3%,55.1%,42.3%
1.25,4.9%,1.6%,67.2%,68.3%,55.0%
1.27,7.0%,2.8%,57.7%,78.0%,73.3%
0.79,4.0%,5.1%,62.6%,66.1%,48.6%
0.94,7.2%,4.8%,65.6%,65.9%,48.8%
1.74,2.0%,2.0%,64.7%,75.8%,61.1%
2.79,10.3%,0.0%,71.8%,85.7%,72.7%
1.73,5.8%,5.8%,59.6%,90.3%,52.4%
1.04,6.1%,3.1%,59.2%,74.1%,52.5%
0.73,5.2%,5.2%,62.1%,66.7%,36.4%
2.05,0.0%,0.0%,82.2%,75.7%,50.0%
2.34,0.0%,0.0%,80.0%,77.8%,100.0%
2.63,11.4%,5.7%,71.4%,80.0%,60.0%
1.50,0.0%,5.0%,60.0%,69.4%,62.5%
1.37,1.9%,7.4%,61.1%,60.6%,57.1%
1.41,12.2%,0.0%,71.4%,62.9%,64.3%
1.59,5.3%,3.5%,73.7%,76.2%,66.7%
0.79,6.3%,4.8%,69.8%,63.6%,36.8%
0.86,3.6%,3.6%,66.7%,67.6%,43.2%
1.21,4.3%,0.0%,78.6%,67.3%,60.0%
1.33,5.4%,2.7%,64.9%,75.0%,53.8%
1.20,1.7%,1.7%,71.2%,69.0%,82.4%
1.22,3.7%,0.0%,73.2%,65.0%,63.6%
2.04,11.1%,4.4%,66.7%,70.0%,80.0%
0.85,1.2%,4.8%,57.1%,58.3%,55.6%
1.24,4.6%,3.4%,59.8%,71.2%,60.0%
0.81,1.6%,7.8%,62.5%,45.0%,33.3%
1.75,2.0%,6.0%,64.0%,87.5%,55.6%
0.83,5.1%,3.0%,63.6%,65.1%,50.0%
0.77,0.0%,6.0%,48.8%,75.6%,30.2%
1.45,3.3%,5.0%,71.7%,72.1%,58.8%
1.12,7.5%,10.0%,60.0%,70.8%,56.3%
1.44,3.6%,7.1%,64.3%,77.8%,45.0%
1.74,2.1%,8.3%,54.2%,76.9%,63.6%
1.23,9.2%,4.1%,55.1%,66.7%,52.3%
2.21,2.7%,2.7%,67.6%,80.0%,66.7%
0.82,3.7%,1.2%,61.7%,70.0%,41.9%
