DR,A%,DF%,1stIn,1st%,2nd%
1.72,19.6%,7.1%,55.4%,71.0%,68.0%
1.40,9.0%,4.5%,50.7%,73.5%,57.6%
0.97,11.5%,4.2%,55.2%,71.7%,53.5%
1.61,6.5%,3.2%,59.7%,81.1%,68.0%
1.46,11.8%,3.9%,37.3%,57.9%,62.5%
0.79,4.4%,5.9%,61.8%,54.8%,38.5%
1.17,9.5%,2.1%,68.4%,69.2%,50.0%
1.50,12.2%,0.0%,48.0%,80.9%,60.8%
1.83,8.6%,1.7%,50.0%,86.2%,69.0%
1.83,9.8%,3.9%,60.8%,87.1%,55.0%
1.14,5.3%,2.7%,53.3%,87.5%,51.4%
1.50,8.6%,1.7%,60.3%,77.1%,69.6%
0.92,13.2%,2.9%,60.3%,65.9%,51.9%
0.92,9.2%,2.6%,52.6%,75.0%,50.0%
2.00,20.0%,3.3%,60.0%,88.9%,66.7%
0.87,11.9%,4.5%,58.2%,74.4%,50.0%
1.45,5.5%,0.0%,61.6%,82.2%,57.1%
1.39,7.4%,2.5%,51.9%,81.0%,56.4%
1.56,14.9%,4.5%,59.7%,77.5%,66.7%
0.74,15.9%,1.6%,66.7%,71.4%,47.6%
1.15,15.2%,2.5%,55.7%,81.8%,60.0%
0.83,6.1%,3.0%,43.9%,62.1%,48.6%
2.67,15.4%,0.0%,69.2%,92.6%,58.3%
2.31,13.7%,0.0%,68.6%,80.0%,81.3%
1.02,6.7%,3.3%,48.9%,65.9%,52.2%
0.52,15.8%,1.8%,50.9%,79.3%,42.9%
1.14,8.1%,2.3%,46.5%,75.0%,54.3%
1.43,10.8%,0.0%,49.2%,68.8%,63.6%
0.98,6.5%,2.6%,51.9%,77.5%,59.5%
0.65,4.8%,1.2%,70.2%,57.6%,56.0%
0.96,8.3%,3.3%,46.7%,67.9%,59.4%
1.46,18.0%,0.0%,65.6%,80.0%,66.7%
1.32,15.7%,1.1%,52.8%,85.1%,50.0%
0.70,1.5%,3.0%,52.2%,65.7%,43.8%
0.84,4.5%,3.0%,48.5%,75.0%,52.9%
1.11,9.7%,1.4%,59.7%,83.7%,48.3%
1.13,14.0%,1.1%,47.3%,79.5%,51.0%
1.73,7.7%,6.2%,60.0%,87.2%,57.7%
1.20,7.6%,1.5%,57.6%,65.8%,67.9%
0.61,8.2%,4.1%,55.1%,65.4%,45.5%
1.26,8.8%,1.8%,54.9%,75.8%,64.7%
0.48,5.0%,1.7%,43.3%,69.2%,50.0%
0.88,13.7%,5.3%,53.7%,82.4%,59.1%
0.88,12.1%,0.0%,60.3%,77.1%,56.5%
0.84,4.4%,4.4%,45.1%,73.2%,56.0%
0.86,5.9%,0.0%,52.9%,70.4%,54.2%
1.21,8.3%,1.0%,61.5%,81.4%,48.6%
0.75,5.1%,1.0%,48.0%,72.3%,43.1%
1.13,8.0%,2.3%,56.8%,80.0%,47.4%
1.35,13.8%,2.5%,72.5%,70.7%,54.5%
0.80,8.2%,4.1%,54.8%,72.5%,60.6%
2.07,22.2%,0.0%,63.0%,82.4%,70.0%
2.64,14.3%,0.0%,62.9%,81.8%,76.9%
1.40,11.9%,3.4%,52.5%,71.0%,64.3%
0.69,8.5%,4.2%,61.9%,72.6%,37.8%
1.05,2.9%,2.9%,58.8%,78.3%,59.5%
1.32,7.1%,2.4%,63.5%,75.9%,51.6%
2.41,14.6%,2.4%,61.0%,92.0%,62.5%
0.85,7.9%,5.0%,54.5%,65.5%,43.5%
0.66,9.9%,4.4%,44.0%,72.5%,49.0%
0.70,6.3%,4.2%,64.2%,68.9%,44.1%
0.58,5.4%,5.4%,51.4%,60.5%,47.2%
0.82,6.0%,2.4%,41.7%,71.4%,53.1%
0.86,10.2%,4.4%,51.8%,63.4%,45.5%
0.64,5.0%,3.0%,41.6%,64.3%,47.5%
1.07,14.3%,1.4%,71.4%,80.0%,55.0%
0.65,6.4%,0.9%,56.0%,67.2%,60.4%
1.19,5.3%,1.3%,53.9%,70.7%,51.4%
1.34,13.3%,0.0%,54.2%,84.4%,52.6%
0.91,10.2%,4.2%,52.5%,66.1%,57.1%
0.76,9.2%,2.3%,60.9%,73.6%,32.4%
0.63,8.9%,2.2%,57.8%,73.1%,34.2%
1.02,13.1%,2.0%,52.5%,75.0%,51.1%
0.74,8.2%,6.1%,46.9%,73.9%,34.6%
0.92,4.1%,1.4%,49.3%,63.9%,45.9%
1.49,3.8%,3.8%,57.7%,70.0%,63.6%
0.96,10.8%,5.9%,58.8%,73.3%,35.7%
0.87,15.2%,3.0%,51.5%,82.4%,46.9%
1.03,5.6%,2.2%,46.1%,70.7%,58.3%
1.10,12.7%,1.4%,52.1%,78.4%,52.9%
2.03,7.4%,0.0%,57.4%,87.1%,78.3%
1.47,10.7%,3.6%,57.1%,81.3%,54.2%
3.68,17.1%,0.0%,68.3%,92.9%,76.9%
1.12,4.6%,4.6%,59.3%,81.3%,52.3%
1.69,1.9%,1.9%,37.7%,85.0%,60.6%
1.75,8.5%,6.4%,46.8%,81.8%,52.0%
2.04,12.0%,6.0%,56.0%,85.7%,63.6%
0.94,11.3%,2.6%,60.9%,68.5%,54.2%
0.87,13.7%,1.0%,62.7%,73.4%,57.9%
0.63,1.8%,3.5%,56.1%,62.5%,40.0%
1.44,1.7%,0.0%,76.3%,77.8%,64.3%
1.43,10.5%,5.3%,51.3%,84.6%,54.1%
2.03,12.5%,3.1%,65.6%,81.0%,72.7%
2.38,19.0%,0.0%,54.8%,95.7%,57.9%
0.71,5.6%,1.4%,64.8%,65.2%,52.0%
0.71,1.3%,1.3%,65.3%,65.3%,69.2%
1.46,11.8%,2.5%,62.2%,82.4%,64.4%
1.38,7.0%,2.0%,64.0%,67.2%,55.6%
0.85,9.8%,2.2%,58.7%,77.8%,47.4%
1.15,5.6%,4.2%,65.3%,74.5%,52.0%
1.91,9.8%,2.0%,60.8%,87.1%,65.0%
0.72,7.9%,5.6%,65.2%,62.1%,38.7%
1.29,9.1%,2.3%,70.5%,77.4%,57.7%
0.71,4.1%,1.4%,64.4%,72.3%,53.8%
1.67,9.6%,1.9%,63.5%,72.7%,78.9%
0.91,6.7%,1.0%,54.3%,71.9%,58.3%
1.08,10.6%,3.5%,54.9%,82.3%,54.9%
0.77,14.0%,1.6%,49.6%,73.4%,49.2%
1.02,9.3%,5.0%,57.8%,78.5%,38.2%
0.79,6.9%,1.4%,55.6%,62.5%,53.1%
0.73,3.0%,1.5%,53.0%,65.7%,45.2%
1.92,10.9%,0.0%,52.2%,79.2%,68.2%
1.16,8.2%,1.2%,51.8%,70.5%,51.2%
0.85,6.9%,1.4%,62.5%,66.7%,48.1%
0.81,7.7%,3.8%,48.1%,76.0%,55.6%
0.88,7.9%,3.0%,53.5%,74.1%,42.6%
1.26,14.0%,1.0%,58.0%,74.1%,66.7%
0.97,8.3%,1.5%,58.3%,72.7%,50.9%
0.62,5.7%,0.0%,52.8%,67.9%,44.0%
0.60,4.1%,1.4%,67.6%,56.0%,50.0%
1.42,7.4%,1.2%,59.3%,70.8%,60.6%
0.98,7.0%,1.4%,59.2%,64.3%,48.3%
1.21,11.9%,1.5%,58.2%,79.5%,71.4%
2.21,18.4%,2.0%,61.2%,86.7%,73.7%
0.75,7.3%,7.3%,49.0%,72.3%,44.9%
0.47,4.5%,4.5%,47.7%,52.4%,30.4%
0.66,4.4%,7.4%,51.5%,62.9%,45.5%
1.13,7.5%,1.1%,54.8%,76.5%,54.8%
0.68,7.0%,1.8%,56.1%,65.6%,48.0%
0.62,1.1%,1.1%,43.6%,63.4%,41.5%
0.65,6.9%,2.8%,48.6%,60.0%,43.2%
1.26,3.3%,3.3%,61.7%,78.4%,47.8%
0.87,3.0%,1.5%,55.2%,64.9%,56.7%
1.14,6.3%,9.5%,39.7%,80.0%,47.4%
1.59,19.2%,1.9%,61.5%,81.3%,55.0%
1.54,7.2%,3.6%,41.0%,76.5%,67.3%
1.31,7.5%,7.5%,50.7%,76.5%,45.5%
1.07,8.9%,1.3%,53.2%,73.8%,48.6%
0.63,5.2%,1.3%,71.4%,67.3%,54.5%
0.99,12.0%,4.0%,54.7%,85.4%,47.1%
1.03,13.0%,3.3%,58.5%,77.8%,54.9%
1.04,12.0%,4.0%,57.3%,69.8%,65.6%
0.64,11.0%,7.9%,52.9%,79.2%,45.6%
0.46,2.8%,2.8%,60.6%,58.1%,71.4%
1.27,18.2%,1.8%,70.9%,87.2%,56.3%
1.37,4.8%,3.6%,52.4%,81.8%,57.5%
1.77,8.6%,1.7%,53.4%,87.1%,63.0%
1.08,7.8%,3.9%,48.0%,75.5%,60.4%
2.52,15.6%,4.4%,60.0%,88.9%,61.1%
1.08,13.7%,2.7%,49.3%,86.1%,43.2%
0.70,8.5%,10.6%,66.0%,58.1%,18.8%
2.05,12.7%,1.6%,57.1%,86.1%,77.8%
1.33,9.5%,0.0%,61.9%,65.4%,56.3%
1.37,14.0%,1.8%,56.1%,81.3%,48.0%
2.15,9.3%,0.0%,65.1%,71.4%,86.7%
3.31,14.0%,2.0%,62.0%,87.1%,89.5%
0.61,10.3%,1.7%,41.4%,87.5%,35.3%
1.45,12.5%,5.4%,41.1%,78.3%,57.6%
1.75,20.9%,4.7%,48.8%,90.5%,50.0%
0.87,10.5%,4.8%,46.7%,81.6%,44.6%
1.72,22.6%,6.5%,45.2%,89.3%,70.6%
1.44,9.3%,5.6%,40.7%,77.3%,56.3%
